ID_hash	ult_avaliacao_clima	qtde_projetos_3m	qtde_projetos_6m	qtde_projetos_12m	qtde_projetos_24m	media_horas_trabalho_3m	media_horas_trabalho_6m	media_horas_trabalho_12m	tempo_empresa	flag_promocao_3m	flag_promocao_6m	flag_promocao_12m	flag_promocao_vida	departamento	patamar_salario	turnover
754	0.37	1	3	4	7	176	166	154	1	0	0	0	0	dados	02_acima_media	0
755	0.18	2	4	4	6	146	150	142	1	0	0	0	1	vendas	01_menor_igual_media	0
756	0.68	2	5	7	11	155	157	154	2	0	0	0	0	dados	01_menor_igual_media	0
757	0.79	2	5	6	11	185	176	175	3	0	0	0	1	RH/financeiro	02_acima_media	0
758	0.06	3	5	7	11	176	176	173	4	0	0	0	1	TI/suporte	01_menor_igual_media	0
759	0.66	0	5	6	11	192	186	174	10	1	0	0	1	marketing/produto	02_acima_media	0
760	0.93	0	3	6	8	155	158	160	2	0	0	0	0	TI/suporte	01_menor_igual_media	0
761		1	4	7	8	157	157	159	4	0	0	0	0	dados	01_menor_igual_media	0
762	0.67	2	3	5	10	146	156	155	3	0	0	0	0	dados	02_acima_media	0
763	0.62	4	4	7	11	160	157	150	1	0	0	0	1	TI/suporte	01_menor_igual_media	0
764		1	4	4	4	177	189	178	5	0	0	0	0	dados	01_menor_igual_media	0
765	0.25	0	2	5	10	151	153	165	3	0	0	0	1	RH/financeiro	01_menor_igual_media	0
766	0.22	6	7	9	13	192	200	190	4	0	0	0	1	vendas	01_menor_igual_media	0
767	0.46	4	5	8	12	189	184	191	3	0	0	0	1	marketing/produto	01_menor_igual_media	0
768	0.31	1	3	6	10	161	165	172	3	0	0	0	1	dados	01_menor_igual_media	0
769	0.95	2	4	7	10	166	174	182	3	0	0	0	1	dados	01_menor_igual_media	0
770	0.61	0	4	5	6	154	154	150	4	1	0	0	1	marketing/produto	01_menor_igual_media	0
771		1	3	4	8	199	195	184	7	0	0	0	1	marketing/produto	02_acima_media	0
772	0.8	0	5	5	7	152	158	148	2	0	0	0	1	vendas	02_acima_media	1
773		0	2	5	8	157	154	158	4	0	0	0	1	RH/financeiro	01_menor_igual_media	1
774	0.59	1	3	5	7	164	163	163	3	0	0	0	0	marketing/produto	01_menor_igual_media	0
775	0.26	3	3	3	8	170	172	172	5	0	0	0	0	marketing/produto	01_menor_igual_media	1
776	0.72	4	4	7	7	160	156	148	3	0	0	0	0	dados	01_menor_igual_media	0
777	0.16	0	5	6	8	190	188	186	5	0	0	0	1	vendas	02_acima_media	0
778	0.31	0	3	4	8	161	159	156	3	0	0	0	0	dados	01_menor_igual_media	0
779	0.89	1	3	3	4	192	189	184	3	0	0	0	1	vendas	01_menor_igual_media	1
780	0.24	1	3	5	5	153	156	147	3	0	0	0	1	dados	02_acima_media	0
781	0.74	0	3	3	5	161	153	153	3	0	1	0	1	vendas	01_menor_igual_media	0
782	0.93	3	5	8	9	166	174	181	3	1	0	0	1	vendas	01_menor_igual_media	0
783	0.93	1	3	5	10	162	155	161	3	0	0	0	0	TI/suporte	01_menor_igual_media	1
784	0.7	4	5	6	8	167	174	182	5	0	1	0	1	TI/suporte	01_menor_igual_media	0
785	0.49	3	3	3	5	153	156	159	3	0	0	0	0	RH/financeiro	01_menor_igual_media	0
786	0.97	0	2	4	5	165	166	173	1	0	0	0	1	vendas	01_menor_igual_media	1
787	0.97	0	5	8	13	189	179	185	5	0	0	0	0	marketing/produto	01_menor_igual_media	0
788	0.89	0	3	3	5	185	189	190	4	1	0	0	1	vendas	01_menor_igual_media	0
789	0.92	4	4	7	7	165	163	161	3	1	0	0	1	vendas	01_menor_igual_media	1
790	0.68	0	2	3	8	170	178	180	3	0	0	0	1	dados	01_menor_igual_media	0
791		6	6	9	14	194	195	204	5	0	0	0	0	TI/suporte	01_menor_igual_media	0
792	0.76	1	3	5	5	177	176	184	3	0	0	0	0	dados	01_menor_igual_media	0
793	0.18	2	5	5	9	152	160	172	5	0	0	0	1	vendas	01_menor_igual_media	0
794	0.96	5	5	8	11	193	186	194	5	0	0	1	1	RH/financeiro	01_menor_igual_media	0
795	0.13	2	4	4	6	165	168	169	3	0	0	0	1	marketing/produto	02_acima_media	0
796	0.57	2	3	4	7	154	158	157	3	0	0	0	1	RH/financeiro	01_menor_igual_media	0
797		0	4	5	6	180	184	180	4	0	0	0	1	dados	01_menor_igual_media	0
798	0.99	4	5	7	12	154	159	163	3	0	0	0	0	dados	01_menor_igual_media	1
799	0.21	0	4	7	10	197	190	193	2	0	0	0	0	vendas	01_menor_igual_media	0
800		1	3	6	7	147	154	157	4	0	0	0	0	RH/financeiro	01_menor_igual_media	1
801	0.65	0	4	7	8	176	182	185	5	0	0	0	1	dados	01_menor_igual_media	0
802	0.15	3	3	4	6	175	175	179	3	0	0	0	0	dados	01_menor_igual_media	0
803	0.91	2	5	7	9	189	179	169	3	0	0	0	1	TI/suporte	01_menor_igual_media	0
804	0.89	3	4	6	7	151	156	165	3	0	0	0	1	marketing/produto	01_menor_igual_media	0
805	0.26	0	2	5	7	156	154	160	3	0	0	0	1	marketing/produto	01_menor_igual_media	0
806	0.96	0	4	7	11	164	154	157	3	0	0	0	0	vendas	01_menor_igual_media	0
807	0.74	1	3	4	5	178	171	176	7	1	0	0	1	marketing/produto	02_acima_media	0
808	0.95	0	4	6	8	171	170	180	4	0	0	0	1	dados	01_menor_igual_media	0
809	0.08	0	6	8	10	187	186	183	5	0	0	0	0	vendas	01_menor_igual_media	0
810	0.01	4	7	8	10	184	181	172	4	0	0	0	0	dados	01_menor_igual_media	0
811	0.81	3	5	8	9	170	168	175	6	0	0	0	0	vendas	01_menor_igual_media	1
812	0.98	3	3	4	5	146	155	152	8	0	0	0	1	RH/financeiro	01_menor_igual_media	0
813	0.84	0	5	5	9	187	189	188	6	0	0	0	1	TI/suporte	01_menor_igual_media	0
814	0.82	1	4	7	7	159	156	159	4	0	0	0	1	vendas	01_menor_igual_media	0
815	0.99	0	4	5	5	171	172	167	5	0	0	0	0	dados	01_menor_igual_media	0
816	0.87	1	4	5	6	187	189	188	10	0	0	0	0	vendas	01_menor_igual_media	0
817	0.87	3	5	6	8	158	155	158	3	0	0	0	0	marketing/produto	01_menor_igual_media	0
818	0.4	0	4	6	7	150	152	152	5	0	0	1	1	marketing/produto	01_menor_igual_media	0
819	0.75	0	3	3	5	164	156	148	1	0	0	0	0	dados	01_menor_igual_media	1
820	0.86	2	3	4	8	158	160	155	1	0	0	0	1	vendas	01_menor_igual_media	0
821	0.58	4	4	7	12	157	155	150	4	0	0	0	0	RH/financeiro	01_menor_igual_media	0
822	0.45	1	2	4	8	149	155	154	3	0	0	0	1	TI/suporte	01_menor_igual_media	0
823	0.73	2	2	3	6	171	171	172	3	1	0	0	1	dados	01_menor_igual_media	0
824	0.72	3	5	5	9	179	180	182	2	0	0	0	1	vendas	02_acima_media	0
825	0.89	2	4	6	7	165	160	163	3	0	0	0	0	marketing/produto	01_menor_igual_media	0
826	0.77	1	2	3	3	158	158	155	3	0	0	0	1	marketing/produto	01_menor_igual_media	0
827	0.97	1	3	3	5	168	178	186	1	0	0	0	0	TI/suporte	01_menor_igual_media	0
828	0.81	4	5	5	5	150	160	153	3	0	0	0	0	dados	01_menor_igual_media	0
829	0.84	2	3	4	9	159	156	146	1	0	1	0	1	RH/financeiro	01_menor_igual_media	1
830	0.25	4	5	6	10	185	187	197	3	0	0	0	1	TI/suporte	01_menor_igual_media	0
831	0.41	1	2	2	4	161	155	157	3	0	0	0	0	dados	01_menor_igual_media	0
832	0.88	0	5	7	8	188	182	192	3	0	0	0	1	vendas	02_acima_media	0
833		0	2	4	9	164	161	174	3	0	0	0	0	vendas	01_menor_igual_media	1
834	0.78	4	4	6	8	159	154	142	2	0	0	0	1	TI/suporte	01_menor_igual_media	0
835	1	1	4	6	7	152	159	160	4	0	0	0	0	dados	01_menor_igual_media	0
836	0.09	1	5	6	8	162	161	157	6	0	0	0	0	marketing/produto	01_menor_igual_media	1
837	0.74	0	4	5	6	172	162	168	3	0	0	0	1	dados	01_menor_igual_media	0
838	1	2	5	8	11	155	158	161	1	0	0	0	1	dados	01_menor_igual_media	0
839	0.95	0	6	8	8	157	156	153	3	0	0	0	1	marketing/produto	01_menor_igual_media	0
840		0	4	7	8	168	180	185	1	0	0	0	0	TI/suporte	01_menor_igual_media	0
841	0.41	2	3	5	7	154	153	148	3	0	0	0	0	dados	01_menor_igual_media	0
842	0.93	0	5	7	8	164	156	151	1	0	0	0	0	marketing/produto	01_menor_igual_media	0
843	0.8	1	4	4	8	184	182	189	1	0	0	0	0	TI/suporte	01_menor_igual_media	0
844		2	4	7	10	160	157	166	6	0	0	0	1	marketing/produto	02_acima_media	0
845	0.36	1	4	4	6	153	156	149	3	0	0	0	0	dados	01_menor_igual_media	0
846	0.15	0	2	4	4	149	153	155	3	0	0	0	0	dados	01_menor_igual_media	0
847	0.85	0	3	3	3	179	173	161	3	0	0	0	0	dados	01_menor_igual_media	0
848	0.35	1	3	4	7	177	178	181	3	0	0	0	0	dados	01_menor_igual_media	0
849		4	4	5	8	176	184	178	1	0	0	0	1	vendas	01_menor_igual_media	0
850	0.99	0	4	4	6	186	186	186	1	0	0	0	1	dados	01_menor_igual_media	0
851	0.59	1	2	2	7	150	157	154	3	0	0	0	1	dados	02_acima_media	0
852	0.34	2	2	3	8	189	188	181	4	0	0	0	1	vendas	01_menor_igual_media	1
853	0.95	1	3	6	9	176	177	168	3	0	0	0	1	marketing/produto	01_menor_igual_media	0
854	0.97	5	5	8	12	149	157	153	2	0	0	0	0	dados	01_menor_igual_media	0
855	0.29	2	2	4	9	156	153	163	3	0	0	0	0	dados	01_menor_igual_media	0
856	0.7	5	5	7	11	166	159	163	2	0	0	0	1	vendas	01_menor_igual_media	0
857	0.83	3	4	4	6	170	168	171	3	1	0	0	1	vendas	01_menor_igual_media	0
858	0.07	3	6	9	12	184	185	195	7	0	0	0	0	marketing/produto	02_acima_media	0
859		3	3	5	10	170	160	165	3	0	0	0	0	TI/suporte	01_menor_igual_media	1
860	0.54	0	4	4	9	163	165	164	5	0	0	0	0	vendas	01_menor_igual_media	0
861		1	2	4	9	159	155	145	3	0	0	0	1	dados	01_menor_igual_media	0
862	0.66	0	4	5	5	165	156	149	2	0	0	0	0	RH/financeiro	01_menor_igual_media	0
863	0.85	5	5	8	11	177	176	177	5	0	0	0	0	vendas	01_menor_igual_media	0
864	0.51	1	4	5	6	190	182	180	3	0	0	0	1	vendas	01_menor_igual_media	0
865	0.68	0	4	5	6	178	181	179	3	0	0	0	1	dados	01_menor_igual_media	0
866	0.93	2	4	5	7	165	159	162	3	0	0	0	0	marketing/produto	02_acima_media	0
867	0.66	1	5	7	12	151	156	158	3	0	0	0	1	vendas	02_acima_media	0
868	0.01	5	6	7	9	181	182	184	4	0	0	0	1	RH/financeiro	01_menor_igual_media	0
869	0.71	3	4	6	11	194	188	188	3	0	0	0	0	TI/suporte	01_menor_igual_media	1
870	0.82	2	4	6	6	174	173	167	3	0	0	0	1	TI/suporte	01_menor_igual_media	0
871	0.8	3	4	7	10	172	170	169	3	0	0	0	0	vendas	01_menor_igual_media	1
872	0.69	1	3	5	10	197	188	178	1	0	0	0	0	vendas	01_menor_igual_media	1
873	0.03	6	6	8	11	184	187	190	4	0	0	0	0	dados	01_menor_igual_media	0
874	0.91	1	3	5	6	150	158	155	3	0	0	0	0	TI/suporte	01_menor_igual_media	1
875	0.71	1	2	3	5	155	154	163	3	0	0	0	1	vendas	01_menor_igual_media	1
876	0.95	4	6	6	9	187	189	193	5	0	0	0	0	dados	01_menor_igual_media	0
877	0.17	0	3	5	6	153	150	142	8	0	1	0	1	marketing/produto	02_acima_media	0
878	0.29	1	2	4	7	153	153	161	3	0	0	0	0	TI/suporte	01_menor_igual_media	0
879	0.78	2	4	5	5	158	159	156	1	0	0	0	0	TI/suporte	02_acima_media	0
880		1	4	6	10	174	176	174	4	0	0	0	0	marketing/produto	01_menor_igual_media	0
881	0.41	4	4	7	7	195	186	185	1	0	0	0	0	dados	02_acima_media	0
882	0.77	0	3	3	6	158	151	148	6	0	0	0	0	marketing/produto	01_menor_igual_media	0
883	0.24	1	2	5	9	163	155	157	3	0	0	0	0	dados	01_menor_igual_media	0
884		0	3	4	9	152	155	150	1	0	0	0	0	TI/suporte	01_menor_igual_media	0
885	0.7	3	3	3	8	163	163	174	3	0	0	0	1	marketing/produto	01_menor_igual_media	0
886	0.82	0	2	4	8	190	185	193	3	0	0	0	0	vendas	01_menor_igual_media	0
887	0.96	2	4	7	11	156	159	148	3	0	0	0	0	TI/suporte	01_menor_igual_media	0
888		1	4	5	6	194	191	186	3	0	0	0	0	dados	01_menor_igual_media	0
889	0.5	0	4	4	5	183	186	183	3	0	0	0	0	marketing/produto	01_menor_igual_media	0
890	0.89	2	3	6	11	153	155	151	3	0	0	0	0	TI/suporte	01_menor_igual_media	0
891	0.84	1	4	6	7	163	166	170	3	0	1	0	1	dados	01_menor_igual_media	0
892	1	1	5	6	6	174	172	181	5	0	1	0	1	RH/financeiro	01_menor_igual_media	0
893	0.82	1	4	5	7	170	170	172	2	1	0	0	1	vendas	02_acima_media	0
894	0.99	1	3	5	5	184	174	180	3	0	0	0	1	TI/suporte	01_menor_igual_media	0
895	0.59	3	4	7	9	153	160	157	3	0	0	0	1	RH/financeiro	02_acima_media	0
896		1	4	6	10	157	157	159	3	0	0	0	0	dados	01_menor_igual_media	1
897	0.93	1	3	5	6	153	153	147	3	0	0	0	1	RH/financeiro	01_menor_igual_media	0
898	0.72	0	3	5	10	152	161	152	10	0	0	0	1	RH/financeiro	01_menor_igual_media	0
899	1	0	4	7	8	147	157	165	4	0	0	0	0	RH/financeiro	01_menor_igual_media	0
900	0.29	0	3	6	8	182	186	190	1	0	0	0	0	marketing/produto	02_acima_media	0
901	0.2	3	5	6	10	156	157	149	2	0	0	0	0	vendas	02_acima_media	0
902	0.66	3	4	4	7	148	158	161	3	0	0	0	1	TI/suporte	01_menor_igual_media	0
903	0.09	0	2	2	2	148	153	157	3	0	0	0	0	marketing/produto	01_menor_igual_media	0
904		1	3	4	5	164	161	175	3	0	0	0	0	marketing/produto	01_menor_igual_media	0
905		3	4	5	6	187	188	184	4	0	0	0	0	dados	01_menor_igual_media	0
906	0.4	0	4	4	9	157	155	150	3	0	0	0	1	marketing/produto	01_menor_igual_media	0
907		2	2	4	7	156	164	168	7	0	0	0	0	vendas	01_menor_igual_media	0
908	0.13	2	3	6	6	159	152	147	4	0	0	0	1	marketing/produto	01_menor_igual_media	1
909	0.52	2	3	5	6	159	158	165	3	0	0	0	1	RH/financeiro	01_menor_igual_media	1
910	0.78	0	3	5	8	159	160	151	2	0	0	0	0	TI/suporte	01_menor_igual_media	0
911		1	3	5	6	184	183	191	2	0	0	0	1	TI/suporte	01_menor_igual_media	0
912	0.77	2	3	3	8	181	179	176	1	0	0	0	0	TI/suporte	01_menor_igual_media	0
913	0.96	3	4	6	9	172	172	175	2	0	0	0	0	RH/financeiro	01_menor_igual_media	0
914	0.19	0	4	6	7	157	158	157	3	0	0	0	0	vendas	01_menor_igual_media	0
915	0.97	1	4	6	6	165	163	167	2	0	0	0	0	TI/suporte	01_menor_igual_media	0
916	0.31	4	4	7	8	152	153	159	3	0	0	0	1	marketing/produto	01_menor_igual_media	1
917	0.24	0	5	7	9	185	186	187	6	0	0	0	1	vendas	01_menor_igual_media	0
918	0.11	0	6	6	9	205	200	209	4	0	0	0	0	vendas	01_menor_igual_media	1
919	0.99	0	5	5	5	154	153	165	4	0	0	0	0	dados	01_menor_igual_media	0
920		4	4	7	8	159	161	165	6	0	0	0	0	vendas	01_menor_igual_media	0
921	0.13	0	2	4	4	153	155	160	3	0	0	0	1	vendas	01_menor_igual_media	0
922	0.64	0	3	4	4	163	168	168	4	0	0	0	0	vendas	01_menor_igual_media	1
923	0.4	1	2	5	6	160	154	155	3	0	0	0	0	marketing/produto	02_acima_media	0
924	0.2	2	2	3	4	154	155	152	3	0	1	0	1	TI/suporte	01_menor_igual_media	0
925	0.93	2	3	4	9	180	180	182	3	0	0	0	1	marketing/produto	01_menor_igual_media	0
926	0.49	4	4	5	5	155	155	152	4	0	0	0	0	vendas	02_acima_media	0
927	0.18	3	6	7	11	163	155	152	10	0	0	0	0	vendas	01_menor_igual_media	0
928	0.75	2	3	3	5	157	159	153	3	0	0	0	0	vendas	01_menor_igual_media	1
929	0.28	0	2	2	4	157	156	168	3	0	0	0	1	vendas	01_menor_igual_media	0
930	0.09	2	4	4	8	147	156	153	4	0	0	0	1	dados	01_menor_igual_media	0
931	0.71	1	3	5	5	156	160	163	3	0	0	0	1	marketing/produto	01_menor_igual_media	0
932	0.42	4	4	4	7	156	157	159	3	0	0	0	0	RH/financeiro	01_menor_igual_media	0
933	0.88	3	3	4	5	177	174	173	2	0	0	0	1	marketing/produto	01_menor_igual_media	0
934	0.94	3	3	3	7	149	151	152	2	0	0	0	0	vendas	02_acima_media	0
935	0.73	3	4	5	9	153	153	155	2	0	0	0	1	vendas	01_menor_igual_media	0
936	0.92	3	3	4	6	167	168	175	10	0	0	0	0	vendas	01_menor_igual_media	0
937	0.97	4	4	6	11	150	151	153	4	0	0	0	0	dados	01_menor_igual_media	0
938	0.81	2	2	2	5	162	156	144	4	0	0	0	1	vendas	01_menor_igual_media	1
939	0.25	2	2	4	6	148	152	151	5	0	0	0	1	marketing/produto	01_menor_igual_media	0
940	0.94	1	3	5	9	155	150	160	3	0	0	0	1	RH/financeiro	01_menor_igual_media	0
941	0.93	1	5	8	11	180	181	189	5	0	0	0	1	marketing/produto	01_menor_igual_media	1
942	0.84	1	5	6	10	160	159	170	5	0	0	0	1	dados	01_menor_igual_media	0
943	0.78	0	3	4	9	155	155	153	1	0	0	0	0	vendas	01_menor_igual_media	0
944	0.59	0	4	4	5	159	154	156	1	0	0	0	1	TI/suporte	01_menor_igual_media	0
945	0.92	3	4	5	10	180	182	179	1	0	0	0	1	marketing/produto	02_acima_media	0
946	0.99	0	5	6	8	188	185	186	10	0	0	0	0	TI/suporte	01_menor_igual_media	0
947	0.1	4	4	5	7	150	155	154	2	0	0	0	0	vendas	01_menor_igual_media	0
948	0.86	3	3	5	8	171	172	178	4	0	0	0	1	RH/financeiro	01_menor_igual_media	0
949	0.04	1	6	7	8	159	159	159	3	0	0	0	1	dados	01_menor_igual_media	0
950	0.82	4	4	5	6	186	189	192	4	0	0	0	0	vendas	01_menor_igual_media	0
951	0.81	1	2	4	7	191	189	192	4	0	0	0	0	TI/suporte	01_menor_igual_media	0
952	0.84	0	3	6	6	187	187	178	3	0	0	0	1	dados	02_acima_media	0
953	0.53	3	4	4	4	160	160	161	1	0	0	0	0	marketing/produto	01_menor_igual_media	0
954	0.52	1	4	6	10	172	172	184	5	0	0	0	0	dados	01_menor_igual_media	0
955	0.17	5	6	8	9	175	178	180	4	0	0	0	1	RH/financeiro	01_menor_igual_media	0
956	0.34	0	3	6	10	152	155	155	2	0	0	0	0	RH/financeiro	01_menor_igual_media	0
957	0.75	4	4	4	8	168	161	160	2	0	0	0	0	vendas	01_menor_igual_media	0
958	0.42	4	4	5	10	176	169	165	3	0	0	0	1	vendas	02_acima_media	0
959	0.93	3	4	6	6	171	180	182	3	0	0	0	0	RH/financeiro	01_menor_igual_media	0
960	0.76	0	3	5	7	162	159	168	3	0	0	0	1	dados	01_menor_igual_media	0
961	0.14	2	6	9	13	199	196	193	4	0	0	0	0	RH/financeiro	01_menor_igual_media	0
962	0.31	3	3	5	5	158	155	167	2	0	0	0	0	vendas	01_menor_igual_media	1
963	0.01	2	7	9	9	192	182	186	4	0	0	0	0	marketing/produto	01_menor_igual_media	0
964		2	5	8	12	184	175	188	3	0	0	0	0	dados	02_acima_media	0
965	0.23	5	5	8	10	185	182	193	6	0	0	0	0	RH/financeiro	01_menor_igual_media	0
966	0.78	0	3	3	5	163	158	165	3	0	0	0	1	vendas	01_menor_igual_media	0
967	0.91	0	3	5	10	186	189	191	1	0	0	0	1	vendas	01_menor_igual_media	0
968		2	2	2	3	165	155	154	3	0	0	0	0	dados	01_menor_igual_media	0
969	0.99	2	6	8	13	170	177	179	4	0	0	0	0	dados	02_acima_media	0
970	0.86	2	4	4	7	156	158	153	4	0	0	0	0	vendas	01_menor_igual_media	0
971	0.18	0	6	8	13	186	180	178	5	0	0	0	0	vendas	01_menor_igual_media	0
972	0.41	2	3	4	4	179	175	174	1	0	0	0	1	marketing/produto	01_menor_igual_media	0
973	0.86	0	5	5	8	187	185	186	1	0	0	0	0	vendas	01_menor_igual_media	1
974	0.93	1	3	3	4	165	159	159	3	0	0	0	1	RH/financeiro	01_menor_igual_media	0
975	0.96	2	2	4	6	187	188	198	1	0	0	0	0	vendas	01_menor_igual_media	0
976	0.5	4	4	6	11	151	154	158	4	0	0	0	1	vendas	01_menor_igual_media	1
977	0.15	5	5	7	9	183	183	185	3	0	0	0	0	dados	01_menor_igual_media	0
978	0.42	4	4	5	10	156	155	147	2	0	0	0	0	TI/suporte	01_menor_igual_media	0
979	0.26	0	2	4	9	155	153	145	3	0	0	0	0	TI/suporte	01_menor_igual_media	0
980		0	2	3	5	157	155	150	3	0	0	0	1	marketing/produto	01_menor_igual_media	1
981	0.74	4	4	4	8	160	170	171	4	0	0	0	0	TI/suporte	01_menor_igual_media	0
982	0.36	2	5	8	8	181	184	190	8	0	0	0	0	vendas	01_menor_igual_media	0
983	0.98	3	4	7	12	183	180	187	3	0	0	0	1	dados	01_menor_igual_media	0
984	0.18	0	2	4	6	154	154	156	3	0	0	0	1	marketing/produto	01_menor_igual_media	1
985	0.96	0	4	5	8	151	160	159	1	0	0	0	1	marketing/produto	01_menor_igual_media	0
986	0.83	2	4	7	8	180	184	196	2	0	0	0	0	vendas	01_menor_igual_media	1
987	0.85	2	4	6	9	176	178	190	5	0	0	0	0	TI/suporte	01_menor_igual_media	0
988	0.04	1	2	4	5	155	153	141	3	0	0	0	1	TI/suporte	01_menor_igual_media	1
989	0.1	1	2	3	6	161	154	156	3	0	0	0	0	dados	01_menor_igual_media	0
990	0.91	2	3	4	7	163	159	150	3	0	0	0	1	dados	01_menor_igual_media	0
991	0.84	1	4	5	9	149	152	140	2	0	0	0	0	vendas	01_menor_igual_media	0
992	0.74	3	5	6	7	159	166	161	6	0	0	0	0	TI/suporte	01_menor_igual_media	0
993	0.94	2	4	6	8	144	153	142	3	1	0	0	1	dados	01_menor_igual_media	0
994	0.96	1	3	4	4	166	165	166	3	0	0	0	1	vendas	01_menor_igual_media	0
995	0.45	2	5	8	9	158	156	148	3	0	0	0	0	dados	01_menor_igual_media	0
996	0.05	4	6	6	11	194	194	191	7	0	0	0	1	vendas	01_menor_igual_media	0
997	0.32	0	5	5	10	169	166	172	3	0	0	0	0	vendas	01_menor_igual_media	0
998	0.42	3	6	8	13	183	174	166	6	0	0	0	0	dados	01_menor_igual_media	0
999	0.99	3	4	6	7	181	178	188	3	0	0	0	0	vendas	01_menor_igual_media	0
1000	0.9	0	3	5	9	170	160	159	5	0	0	0	0	RH/financeiro	01_menor_igual_media	0
1001		0	3	3	3	155	154	157	2	0	0	0	1	vendas	02_acima_media	0
1002	0.47	3	5	7	7	174	177	168	5	0	0	0	0	vendas	01_menor_igual_media	0
1003	0.58	2	2	4	5	153	155	165	2	0	0	0	0	dados	01_menor_igual_media	0
1004	0.86	3	3	3	4	188	182	185	3	0	0	0	0	marketing/produto	01_menor_igual_media	0
1005	0	2	3	4	8	148	158	169	6	0	0	0	0	vendas	01_menor_igual_media	0
1006	0.48	0	4	7	9	188	178	190	1	0	0	0	1	marketing/produto	01_menor_igual_media	0
1007	0.71	1	4	7	12	165	175	173	4	0	0	0	0	vendas	01_menor_igual_media	0
1008	0.44	1	2	3	4	154	155	156	3	0	0	0	1	dados	01_menor_igual_media	0
1009	0.54	2	4	5	5	153	155	153	3	0	0	0	1	dados	01_menor_igual_media	0
1010	0.34	2	5	8	13	156	156	156	3	0	0	0	0	marketing/produto	02_acima_media	0
1011	0.87	1	3	5	9	147	150	156	6	0	0	0	1	vendas	01_menor_igual_media	1
1012	0.92	2	4	5	8	181	183	175	3	0	0	0	1	dados	01_menor_igual_media	0
1013	0.6	0	3	4	8	159	160	152	1	0	0	0	0	dados	01_menor_igual_media	0
1014	0.91	3	3	3	4	186	178	182	3	0	0	0	0	vendas	01_menor_igual_media	0
1015	0.16	2	6	8	10	190	188	191	4	0	0	0	0	dados	01_menor_igual_media	0
1016	0.34	4	6	7	8	180	188	184	10	0	0	0	0	vendas	01_menor_igual_media	0
1017	0.97	1	3	3	3	164	155	144	4	0	0	0	0	marketing/produto	01_menor_igual_media	1
1018	0.98	4	4	5	6	149	155	155	1	0	0	0	1	marketing/produto	01_menor_igual_media	0
1019	0.99	3	4	4	7	166	163	162	3	0	0	0	1	marketing/produto	01_menor_igual_media	0
1020	0.3	2	3	6	10	169	175	174	3	0	0	0	0	TI/suporte	01_menor_igual_media	0
1021	0.71	4	4	6	11	175	176	180	4	0	0	0	0	TI/suporte	01_menor_igual_media	1
1022	0.84	1	4	4	6	172	169	170	4	0	0	0	0	TI/suporte	01_menor_igual_media	1
1023	0.73	1	3	3	8	153	153	152	3	0	0	0	1	dados	01_menor_igual_media	0
1024	0.93	3	3	5	6	161	156	153	3	0	0	0	0	TI/suporte	01_menor_igual_media	0
1025	0.14	4	7	9	10	199	202	213	4	0	0	0	1	dados	01_menor_igual_media	1
1026	0.73	3	3	4	7	171	173	179	3	0	0	0	1	vendas	01_menor_igual_media	0
1027		0	2	4	8	154	156	162	3	0	0	0	0	RH/financeiro	01_menor_igual_media	0
1028	0.89	2	3	3	8	154	156	158	3	1	0	0	1	marketing/produto	02_acima_media	0
1029	0.74	0	2	2	4	155	155	157	3	0	0	0	0	RH/financeiro	01_menor_igual_media	1
1030	0.67	2	4	7	9	152	155	157	3	0	0	0	1	vendas	02_acima_media	0
1031	0.34	1	4	4	5	153	155	156	4	0	0	0	0	TI/suporte	01_menor_igual_media	1
1032		1	3	5	5	193	190	199	2	0	0	0	1	TI/suporte	02_acima_media	0
1033	0.03	2	6	9	12	180	181	182	5	0	0	0	1	vendas	01_menor_igual_media	0
1034	0.98	1	3	3	4	174	176	181	3	0	0	0	0	TI/suporte	01_menor_igual_media	0
1035	1	1	5	6	6	162	161	163	1	0	0	0	0	TI/suporte	01_menor_igual_media	1
1036	0.2	1	4	4	6	173	169	172	6	0	0	0	1	TI/suporte	02_acima_media	0
1037		3	3	5	5	177	174	169	3	0	0	0	1	RH/financeiro	01_menor_igual_media	0
1038	0.77	3	3	6	6	166	157	155	1	0	0	0	1	dados	01_menor_igual_media	0
1039	0.65	1	3	6	7	169	159	158	4	0	0	0	0	dados	01_menor_igual_media	0
1040	0.15	0	5	6	11	156	155	160	3	0	0	0	0	vendas	01_menor_igual_media	1
1041		0	4	4	4	162	165	163	2	0	0	0	0	TI/suporte	02_acima_media	0
1042	0.98	3	3	6	9	161	159	157	3	0	0	0	0	dados	01_menor_igual_media	0
1043	0.93	1	3	5	9	176	186	186	2	0	0	0	0	marketing/produto	01_menor_igual_media	1
1044		0	2	5	10	160	159	161	4	0	0	0	0	dados	02_acima_media	0
1045	0.25	3	3	3	7	172	175	174	8	0	0	0	0	dados	01_menor_igual_media	0
1046	0.86	3	5	6	8	189	181	181	4	0	0	0	1	TI/suporte	02_acima_media	0
1047	0.83	2	3	3	5	165	163	160	3	0	0	0	1	marketing/produto	01_menor_igual_media	1
1048	0.95	0	5	5	5	158	160	149	3	0	0	0	0	vendas	01_menor_igual_media	0
1049	0.99	3	4	7	12	176	185	187	3	0	0	0	0	dados	02_acima_media	0
1050	0.98	1	5	8	10	168	159	155	1	0	0	0	1	dados	01_menor_igual_media	1
