ID	SAFRA	IDADE	RENDA_MEDIA_MENSAL	TOTAL_INVESTIMENTOS	QTDE_CONSULTAS_CREDITO_12M	QTDE_CARTOES	QTDE_EMPRESTIMOS_12M	QTDE_CHEQUE_ESPECIAL_12M	QTDE_PGTOS_EM_ATRASO_12M	TOTAL_DIAS_ATRASO_12M	FLAG_PGTO_PARCIAL_12M	VALOR_PGTOS_12M	PERC_MEDIO_LIMITE_TOMADO_12M	RESPOSTA_MAU_BOM
0x19b7f	Safra 1	28	13200	148200	0	1	0	3	0	0	Nao	4127	0.37	1
0x19b8	Safra 1	28	13700	15100	4	4	1	3	2	22	Sim	34582	0.69	1
0x19b80	Safra 2	28	10500	0	0	2	0	1	1	3	Nao	2291	0.45	1
0x19b8a	Safra 2	28	4000	0	0	2	0	0	2	4	Nao	15885	0.25	1
0x19b9	Safra 3	28	4700	107900	1	5	1	1	4	34	Sim	22911	0.42	0
0x19b90	Safra 1	28	5400	1900	0	2	0	1	1	4	Sim	20080	0.46	1
0x19b96	Safra 3	28	3200	24500	0	1	0	0	0	0	Nao	18111	0.68	1
0x19ba	Safra 2	28	11500	2700	0	4	0	0	2	2	Sim	10853	0.24	1
0x19ba2	Safra 1	28	1900	0	0	2	0	1	1	4	Nao	5148	0.07	1
0x19bae	Safra 3	28	13800	93000	4	2	0	5	4	5	Sim	4006	0.21	1
0x19bb	Safra 2	28	6700	0	1	4	0	1	1	1	Nao	12028	0.22	1
0x19bb0	Safra 3	28	9900	13700	0	4	3	1	1	7	Sim	13088	0.4	0
0x19bba	Safra 2	28	8500	39300	4	2	0	1	3	6	Nao	7256	0.01	1
0x19bc	Safra 2	28	11300	0	0	3	0	1	6	10	Sim	6301	0.11	1
0x19bc0	Safra 2	28	6800	200	0	2	0	1	3	3	Nao	1382	0.39	1
0x19bc6	Safra 1	28	6000	9000	1	3	0	2	3	10	Sim	13286	0.03	1
0x19bd	Safra 2	28	2100	82400	0	1	0	0	0	0	Nao	6890	0.84	1
0x19bd2	Safra 2	28	4100	0	1	3	0	3	3	16	Nao	4954	0.04	1
0x19bde	Safra 3	28	14900	77400	5	3	1	1	4	21	Nao	9351	0.54	1
0x19bea	Safra 3	28	3700	200	1	3	1	2	3	47	Sim	22950	0.48	1
0x19bf6	Safra 3	28	8700	0	3	5	6	2	2	193	Sim	39572	0.16	0
0x19c02	Safra 3	28	12700	5700	2	3	1	2	5	61	Sim	22355	0.72	1
0x19c0e	Safra 3	28	10200	700	0	3	2	2	3	47	Sim	35221	0.08	0
0x19c1a	Safra 2	28	26500	6800	1	1	0	1	1	1	Nao	13350	0.01	1
0x19c2	Safra 1	28	4500	3700	0	2	0	1	2	2	Sim	9782	0.88	1
0x19c20	Safra 3	28	4400	26600	0	1	0	1	0	0	Sim	2210	0.19	1
0x19c26	Safra 2	28	3700	0	0	4	0	1	2	6	Sim	12504	0.77	1
0x19c3	Safra 2	28	9200	3900	3	3	2	2	3	32	Sim	34425	0.06	1
0x19c32	Safra 3	28	25100	49600	4	1	0	1	0	0	Nao	3809	0.01	1
0x19c3e	Safra 3	28	7400	0	0	1	0	0	1	1	Nao	6216	0.15	1
0x19c4	Safra 2	28	5500	400	0	1	0	1	0	0	Nao	4656	0.52	1
0x19c40	Safra 1	28	8800	0	1	7	1	2	2	37	Sim	62506	0.24	1
0x19c4a	Safra 3	28	4900	500	2	4	0	2	1	1	Nao	2905	0.13	1
0x19c5	Safra 3	28	6500	7900	0	1	0	1	1	1	Nao	14197	0.64	1
0x19c50	Safra 3	28	4800	2200	1	2	0	1	3	9	Nao	17673	0.31	1
0x19c56	Safra 3	28	1800	0	0	2	0	1	3	3	Nao	6016	0.57	1
0x19c6	Safra 1	28	4300	0	2	7	0	2	1	3	Sim	18539	0.11	1
0x19c62	Safra 1	28	11600	7200	0	4	0	0	1	4	Sim	12090	0.77	1
0x19c6e	Safra 2	28	4900	800	1	2	0	2	1	1	Sim	25655	0.19	1
0x19c7	Safra 2	28	8600	4400	0	1	0	1	0	0	Sim	29454	0.88	1
0x19c70	Safra 2	28	7300	500	2	5	1	2	4	58	Sim	27360	0.06	0
0x19c7a	Safra 3	28	11800	1600	0	3	1	1	2	19	Sim	32257	0.22	1
0x19c8	Safra 2	28	4600	1900	1	4	0	2	5	12	Sim	16043	0.64	1
0x19c80	Safra 2	28	16300	12900	0	2	0	1	4	5	Nao	16232	0.13	1
0x19c86	Safra 3	28	19400	18000	0	3	2	0	3	3	Nao	13404	0.1	1
0x19c9	Safra 3	28	2800	1100	0	3	1	1	3	19	Nao	6680	0.16	1
0x19c92	Safra 2	28	5600	7200	2	4	0	2	1	5	Sim	20350	0.17	1
0x19c9e	Safra 2	28	5600	0	0	2	0	2	1	3	Nao	6745	0.21	1
0x19caa	Safra 3	28	12400	5700	0	3	0	1	3	16	Nao	17599	0.01	1
0x19cb6	Safra 2	28	9400	300	2	5	2	4	6	61	Sim	50636	0.27	1
0x19cc2	Safra 2	28	15200	91600	6	1	0	3	0	0	Nao	7244	0.67	1
0x19cce	Safra 1	28	12300	65700	6	3	0	3	2	16	Sim	15947	0	1
0x19cda	Safra 2	28	3700	1600	1	1	0	1	1	1	Nao	4711	0.06	1
0x19ce	Safra 2	28	7200	7900	1	3	0	1	3	18	Sim	5991	0.41	1
0x19ce0	Safra 3	28	6800	3700	0	3	1	2	4	23	Nao	5876	0.09	1
0x19ce6	Safra 2	28	6900	300	1	1	0	3	0	0	Sim	21964	0.05	1
0x19cf	Safra 2	28	4800	14000	2	3	0	1	1	15	Sim	13998	0.39	1
0x19cf2	Safra 1	28	7700	0	1	3	2	2	3	51	Sim	11540	0.78	1
0x19cfe	Safra 2	28	7200	8800	3	8	0	2	2	6	Sim	59586	0.14	1
0x19d0	Safra 1	28	17300	200	2	3	1	2	4	72	Sim	46291	0.18	1
0x19d00	Safra 2	28	7000	200	0	3	1	0	4	24	Sim	15950	0.07	0
0x19d0a	Safra 3	28	4300	1800	0	1	0	0	0	0	Nao	12184	0	1
0x19d1	Safra 2	28	4900	1500	1	2	0	2	1	2	Nao	5306	0.47	1
0x19d10	Safra 3	28	11500	39800	3	4	0	2	3	7	Sim	34955	0.1	1
0x19d16	Safra 1	28	9200	4200	0	3	1	1	2	18	Sim	11429	0.11	1
0x19d2	Safra 2	28	4800	4000	2	1	0	1	0	0	Nao	10725	0	1
0x19d22	Safra 3	28	14100	25100	0	2	0	0	4	4	Nao	16419	0.22	1
0x19d2e	Safra 2	28	5600	600	0	4	0	1	4	12	Nao	9002	0.14	0
0x19d3	Safra 1	28	6600	2600	2	2	0	2	1	1	Sim	8344	0.02	1
0x19d30	Safra 3	28	10500	42800	3	4	0	0	1	6	Nao	6094	0.34	1
0x19d3a	Safra 2	28	6600	100	0	1	0	1	0	0	Nao	7386	0.01	1
0x19d4	Safra 1	28	4300	100	0	3	1	1	4	21	Nao	17693	0.38	1
0x19d40	Safra 2	28	9100	41100	0	2	0	0	1	2	Nao	15109	0.83	1
0x19d46	Safra 2	28	7800	3000	0	1	0	0	0	0	Nao	7274	0.45	0
0x19d5	Safra 1	28	6000	100	1	3	1	2	9	57	Sim	48933	0.61	1
0x19d52	Safra 1	28	12200	72500	4	1	0	1	0	0	Sim	0	0	1
0x19d5e	Safra 2	28	13200	3400	0	1	0	1	1	1	Nao	7750	0.95	1
0x19d6a	Safra 2	28	2900	97900	1	1	0	1	1	1	Nao	6742	0.08	1
0x19d76	Safra 1	28	16700	16200	0	4	0	1	1	1	Sim	21018	0.87	1
0x19d82	Safra 2	28	7900	30400	4	3	1	1	7	26	Sim	14185	0.55	1
0x19d8e	Safra 3	28	30900	189200	0	4	0	1	4	15	Sim	23385	0	1
0x19d9a	Safra 3	28	6700	300	2	5	1	2	2	34	Sim	38517	0.02	1
0x19da	Safra 3	28	3200	0	0	3	1	3	5	21	Sim	31537	0.05	1
0x19da0	Safra 2	28	5800	1100	0	1	0	1	0	0	Nao	12807	0.41	1
0x19da6	Safra 1	28	9200	89000	6	1	0	3	0	0	Nao	15985	0.48	1
0x19db	Safra 2	28	9300	0	2	3	1	2	5	29	Sim	37432	0.04	0
0x19db2	Safra 3	28	2400	93800	0	1	0	1	0	0	Nao	10792	0.06	0
0x19dbe	Safra 1	28	17400	100	0	4	3	1	3	19	Sim	20184	0.03	0
0x19dc	Safra 1	28	20600	800	0	1	0	3	1	1	Sim	22793	0.36	0
0x19dc0	Safra 2	28	1600	900	0	3	1	1	3	20	Nao	6154	0.12	1
0x19dca	Safra 2	28	6800	1400	0	1	0	1	1	1	Nao	9490	0.32	1
0x19dd	Safra 1	28	1600	600	0	4	0	1	2	2	Nao	12678	0.28	1
0x19dd0	Safra 3	28	5100	0	1	3	2	2	4	34	Sim	24504	0.03	1
0x19dd6	Safra 2	28	17500	92000	5	2	0	1	1	8	Nao	15514	0.05	1
0x19de	Safra 3	28	17200	6900	1	4	1	4	3	30	Sim	5167	0.31	1
0x19de2	Safra 3	28	1300	100	0	1	0	1	0	0	Nao	7464	0.64	1
0x19dee	Safra 1	28	1500	32800	0	1	0	1	0	0	Sim	9479	0.58	1
0x19df	Safra 1	28	1700	4200	0	1	0	1	0	0	Nao	4809	0.47	1
0x19df0	Safra 3	28	11700	14500	3	4	0	3	2	15	Sim	19954	0.09	1
0x19dfa	Safra 1	28	3300	900	1	2	0	1	1	2	Nao	12962	0.2	1
0x19e0	Safra 3	28	5400	0	2	3	1	2	2	12	Sim	12833	0.5	1
0x19e00	Safra 3	28	10800	14700	0	1	0	0	0	0	Nao	7858	0.43	1
0x19e06	Safra 1	28	5900	10600	3	4	1	0	3	23	Nao	4480	0.11	1
0x19e1	Safra 2	28	14500	89800	6	2	0	1	1	5	Nao	12510	0.33	1
0x19e12	Safra 3	28	13800	0	0	4	0	1	2	4	Sim	18811	0.67	0
0x19e1e	Safra 3	28	13100	74500	8	7	1	3	2	6	Sim	30815	0.26	1
0x19e2a	Safra 1	28	1900	1300	1	2	0	1	2	6	Nao	13976	0.37	1
0x19e36	Safra 2	28	9800	9800	0	3	1	0	2	22	Sim	10213	0.42	0
0x19e42	Safra 3	28	7100	23900	2	4	0	2	1	6	Sim	17456	0.11	1
0x19e4e	Safra 3	28	8600	2800	0	3	1	1	2	25	Nao	10065	0.03	1
0x19e5a	Safra 2	28	13100	147900	0	3	0	1	2	12	Sim	11509	0.96	1
0x19e6	Safra 2	28	18800	75700	0	1	0	1	0	0	Sim	15108	0.05	1
0x19e60	Safra 3	28	9300	19000	2	4	1	2	2	24	Sim	15995	0.01	1
0x19e66	Safra 1	28	4300	0	0	4	0	1	0	0	Sim	27990	0.13	1
0x19e7	Safra 3	28	14600	49200	4	2	0	5	1	7	Sim	21758	0.11	1
0x19e72	Safra 2	28	4500	0	1	5	5	2	5	83	Sim	32713	0.63	1
0x19e77	Safra 2	28	3300	100	1	3	1	2	1	4	Sim	29132	0.66	1
0x19e78	Safra 2	28	12500	300	1	4	0	2	1	5	Sim	64877	0.23	0
0x19e7e	Safra 3	28	2500	18900	1	1	0	2	1	1	Nao	5760	0.08	1
0x19e8	Safra 3	28	8600	1200	3	3	1	2	5	51	Sim	43923	0.04	1
0x19e80	Safra 1	28	13300	36600	4	6	1	3	5	60	Sim	26628	0.55	1
0x19e82	Safra 3	28	3900	0	0	3	1	1	3	24	Nao	11352	0.64	1
0x19e83	Safra 2	28	2600	6300	0	2	0	1	2	2	Nao	9365	0.31	1
0x19e8a	Safra 1	28	6400	200	1	3	1	2	2	51	Sim	14675	0.15	1
0x19e9	Safra 3	28	4800	0	1	3	0	2	2	11	Sim	25581	0.05	1
0x19e90	Safra 3	28	1600	100	1	3	0	2	5	11	Nao	10850	0.26	1
0x19e96	Safra 2	28	5400	300	0	1	0	0	0	0	Nao	5533	0.83	1
0x19ea	Safra 3	28	14100	9500	0	2	0	0	1	4	Sim	2332	0.16	1
0x19ea2	Safra 1	28	7000	0	0	3	1	2	3	20	Sim	19140	0.46	1
0x19eae	Safra 2	28	10000	133400	2	2	0	2	2	2	Sim	26980	0.13	1
0x19eb	Safra 2	28	3500	0	1	2	0	2	1	8	Sim	31157	0.18	1
0x19eb0	Safra 3	28	9100	5100	0	5	1	1	2	65	Sim	6941	0.13	1
0x19eba	Safra 3	28	24100	74300	1	3	0	1	1	16	Sim	24652	0.67	1
0x19ec	Safra 3	28	16900	52800	7	6	3	3	2	36	Sim	12405	0.6	1
0x19ec0	Safra 1	28	2800	0	0	2	0	1	1	3	Nao	10494	0.35	1
0x19ec6	Safra 2	28	10400	25900	0	2	0	1	1	1	Sim	22208	0.03	1
0x19ed	Safra 2	28	5900	0	1	4	0	1	4	7	Sim	12420	0.06	1
0x19ed2	Safra 3	28	6100	1400	0	1	0	1	1	1	Sim	9224	0.36	1
0x19ede	Safra 2	28	5300	0	0	4	0	3	1	7	Sim	11976	0.08	0
0x19eea	Safra 3	28	7200	200	0	1	0	1	0	0	Nao	6700	0.31	1
0x19ef6	Safra 1	28	16900	37400	5	6	3	3	2	41	Sim	12406	0.52	1
0x19f02	Safra 1	28	4200	1100	0	4	0	1	2	2	Nao	8683	0.37	0
0x19f0e	Safra 2	28	6200	0	0	2	0	1	1	1	Sim	10662	0.7	1
0x19f1a	Safra 2	28	11400	63200	5	5	3	3	1	42	Sim	45329	0.08	1
0x19f2	Safra 3	28	8900	13400	4	3	1	3	2	23	Sim	21921	0.48	1
0x19f20	Safra 2	28	9800	34600	0	3	1	1	3	24	Nao	3243	0.68	1
0x19f26	Safra 3	28	12500	3600	1	3	2	2	5	58	Sim	13959	0.07	0
0x19f3	Safra 3	28	12000	143800	0	3	1	1	3	24	Sim	13200	0	1
0x19f32	Safra 1	28	9600	0	1	4	1	2	3	25	Sim	7110	0.08	1
0x19f3e	Safra 3	28	26900	300	1	2	0	2	1	5	Sim	22619	0.28	0
0x19f4	Safra 1	28	6400	0	1	3	1	2	2	10	Sim	25725	0.46	0
0x19f40	Safra 3	28	3500	500	1	4	0	1	2	5	Sim	6422	0	1
0x19f4a	Safra 1	28	7400	0	1	3	1	2	1	20	Sim	7078	0.18	1
0x19f5	Safra 1	28	9700	1300	2	3	1	2	2	48	Sim	40299	0.2	0
0x19f50	Safra 2	28	2400	1800	0	2	0	1	4	7	Nao	13741	0.09	1
0x19f56	Safra 1	28	3400	103400	0	1	0	0	0	0	Nao	7476	0.68	1
0x19f5c	Safra 1	28	4500	0	1	4	1	2	2	27	Sim	49103	0.53	1
0x19f5d	Safra 1	28	8700	0	1	2	0	2	1	5	Sim	13147	0.21	1
0x19f6	Safra 3	28	13900	49400	5	5	1	3	3	46	Sim	11608	0.25	0
0x19f62	Safra 2	28	22600	1600	2	3	1	2	5	85	Sim	14095	0.07	0
0x19f6e	Safra 2	28	7600	0	1	3	1	1	3	26	Sim	2547	0.71	1
0x19f7	Safra 3	28	9100	17600	0	4	0	1	2	15	Sim	16503	0.17	1
0x19f70	Safra 3	28	6300	4300	1	3	0	1	1	14	Sim	24977	0.04	1
0x19f7a	Safra 3	28	3300	9400	2	1	0	2	1	1	Nao	12521	0.12	1
0x19f8	Safra 3	28	3200	102900	0	1	0	1	0	0	Nao	12375	0.47	1
0x19f80	Safra 2	28	4000	300	0	2	0	1	1	4	Sim	16161	0.06	1
0x19f86	Safra 2	28	5500	0	5	1	0	0	1	1	Nao	8922	0.62	1
0x19f8a	Safra 1	28	17800	33700	1	8	1	1	3	20	Sim	14357	0.03	1
0x19f8b	Safra 2	28	17400	5800	0	5	1	3	6	71	Sim	48457	0.11	1
0x19f9	Safra 3	28	16900	4400	1	6	3	2	1	36	Sim	12403	0.07	1
0x19f92	Safra 1	28	4400	8500	0	4	0	1	2	12	Nao	17716	0.43	1
0x19f9e	Safra 2	28	10100	35600	0	3	0	1	5	13	Sim	10564	0.17	1
0x19faa	Safra 2	28	8400	35300	3	1	0	1	0	0	Sim	31719	0.05	1
0x19fb6	Safra 2	28	18300	100	2	5	1	2	2	45	Sim	7829	0.32	1
0x19fc2	Safra 2	28	12400	44500	1	4	0	1	2	3	Nao	10890	0.75	1
0x19fce	Safra 2	28	20900	2500	0	1	0	0	0	0	Nao	2948	0.94	1
0x19fda	Safra 1	28	12500	5500	2	1	0	2	0	0	Sim	23289	0.08	1
0x19fe	Safra 1	28	4400	0	0	2	0	1	2	6	Nao	8929	0.21	1
0x19fe0	Safra 2	28	8500	17000	1	2	0	1	2	4	Nao	7719	0.66	0
0x19fe6	Safra 2	28	3600	0	1	2	0	1	2	10	Nao	21522	0.55	1
0x19ff	Safra 1	28	14400	100	1	6	1	2	1	28	Sim	31929	0.5	0
0x19ff2	Safra 3	28	14300	5300	1	5	1	3	4	28	Sim	33995	0.08	1
0x19ffe	Safra 2	28	8800	400	1	7	3	2	1	33	Sim	44158	0.05	1
0x1a00	Safra 2	28	12700	400	0	8	1	1	4	34	Sim	2790	0.77	0
0x1a000	Safra 2	28	10300	1000	0	1	0	1	0	0	Nao	561	0.33	1
0x1a00a	Safra 2	28	7500	42800	4	2	0	3	1	7	Nao	7510	0.41	0
0x1a01	Safra 2	28	5900	200	2	4	0	2	2	6	Sim	13136	0.16	1
0x1a010	Safra 1	28	11300	700	1	3	1	2	2	17	Sim	28663	0.56	1
0x1a016	Safra 2	28	13500	8700	3	4	0	2	2	10	Sim	6435	0	1
0x1a02	Safra 2	28	3800	5500	1	3	0	1	2	12	Nao	17569	0.08	1
0x1a022	Safra 3	28	2500	60400	0	2	0	1	1	3	Nao	1444	0.27	1
0x1a026	Safra 3	28	9200	34100	0	1	0	1	0	0	Nao	10877	0.5	1
0x1a027	Safra 3	28	4600	100	1	2	0	2	1	2	Sim	12383	0.01	0
0x1a02e	Safra 2	28	4900	7500	2	3	0	2	1	18	Sim	23960	0.53	1
0x1a03	Safra 3	28	9700	9100	0	2	0	1	1	7	Nao	12392	0.63	1
0x1a030	Safra 2	28	12800	55800	1	3	0	2	2	17	Sim	22734	0.07	1
0x1a03a	Safra 1	28	15300	2200	3	6	1	4	1	47	Sim	38240	0.18	1
0x1a04	Safra 1	28	2000	0	0	3	2	1	3	5	Sim	3202	0.83	1
0x1a040	Safra 2	28	14500	89100	5	2	0	3	1	6	Nao	4285	0.38	1
0x1a046	Safra 1	28	5900	34800	0	3	0	1	3	10	Nao	17332	0.72	1
0x1a05	Safra 1	28	8100	80700	0	2	0	1	2	6	Nao	9728	0.05	1
0x1a052	Safra 1	28	11400	139900	0	4	1	1	2	24	Sim	20887	0.56	0
0x1a05e	Safra 2	28	4700	100	0	3	1	2	3	23	Sim	30701	0.79	1
0x1a06a	Safra 2	28	5700	13300	2	3	0	1	5	11	Sim	36483	0.15	1
0x1a076	Safra 2	28	11300	7400	0	6	1	2	4	55	Sim	2773	0.55	1
0x1a082	Safra 3	28	18600	3800	0	4	1	1	6	32	Sim	32817	0.1	1
0x1a08e	Safra 1	28	3800	0	1	2	0	1	2	2	Nao	16914	0.12	0
0x1a09a	Safra 3	28	22300	97400	2	2	0	1	2	3	Nao	18160	0.2	1
0x1a0a	Safra 2	28	7600	600	0	3	0	1	4	17	Sim	30709	0.27	1
0x1a0a0	Safra 1	28	8100	300	0	4	0	0	3	14	Nao	7461	0.42	1
0x1a0a6	Safra 2	28	11200	400	0	7	2	2	3	45	Sim	4154	0.01	0
0x1a0b	Safra 3	28	8400	42300	0	2	0	0	1	4	Nao	1268	0.94	1
0x1a0b2	Safra 2	28	12000	20000	2	4	0	4	3	15	Sim	28446	0.02	1
0x1a0be	Safra 2	28	6000	0	1	2	0	4	2	9	Sim	2422	0.24	0
0x1a0c	Safra 3	28	7500	100	0	2	0	1	3	7	Nao	20082	0.05	1
0x1a0c0	Safra 3	28	10400	700	0	1	0	1	1	1	Sim	11040	0.42	1
0x1a0ca	Safra 2	28	13400	400	1	5	2	2	0	0	Sim	14185	0.53	1
0x1a0d	Safra 1	28	14100	29800	0	1	0	1	0	0	Nao	6108	0.22	1
0x1a0d0	Safra 1	28	19200	44100	0	2	0	1	1	4	Nao	14652	0.07	1
0x1a0d6	Safra 3	28	4600	6900	1	5	1	2	3	36	Sim	3753	0.27	1
0x1a0e	Safra 1	28	5100	0	0	3	0	1	5	13	Nao	12513	0.03	1
0x1a0e2	Safra 1	28	13100	45000	1	4	0	1	1	1	Nao	8655	0.22	1
0x1a0ee	Safra 2	28	13700	28400	0	2	0	1	0	0	Sim	26728	0.25	0
0x1a0f	Safra 2	28	6300	3200	2	3	1	2	3	25	Sim	13634	0.05	1
0x1a0f0	Safra 3	28	7300	3600	0	1	0	1	0	0	Nao	9623	0.07	1
0x1a0fa	Safra 1	28	3000	500	0	2	0	0	1	2	Sim	10776	0.31	0
0x1a10	Safra 3	28	7000	3800	0	1	0	1	0	0	Nao	6459	0.56	0
0x1a100	Safra 3	28	3000	0	0	4	0	1	2	14	Nao	10810	0.65	1
0x1a106	Safra 2	28	6500	700	0	2	0	1	2	4	Sim	15426	0.31	1
0x1a11	Safra 3	28	4000	0	1	1	0	2	0	0	Nao	9419	0	1
0x1a112	Safra 2	28	4500	1700	1	1	0	1	0	0	Nao	4526	0.21	1
0x1a11e	Safra 2	28	7300	120700	0	6	2	1	1	65	Sim	9824	0.08	1
0x1a12a	Safra 1	28	8500	200	1	5	2	2	0	0	Sim	21182	0.61	1
0x1a136	Safra 2	28	9200	8600	2	1	0	2	0	0	Sim	13729	0.13	1
0x1a13a	Safra 3	28	3200	800	0	1	0	1	1	1	Nao	9341	0	0
0x1a13b	Safra 2	28	2300	0	0	1	0	0	0	0	Nao	5850	0.61	1
0x1a142	Safra 2	28	8700	100	0	1	0	1	0	0	Nao	10841	0.35	1
0x1a14e	Safra 1	28	12300	800	0	3	2	1	1	3	Sim	8346	0.26	1
0x1a15a	Safra 2	28	8200	200	0	1	0	1	0	0	Sim	20400	0.1	1
0x1a16	Safra 3	28	3000	7900	0	2	0	1	1	5	Sim	11075	0.8	0
0x1a160	Safra 1	28	8300	125600	4	2	0	5	2	2	Nao	6655	0.02	1
0x1a166	Safra 2	28	9600	0	2	3	1	2	3	39	Sim	55977	0.61	1
0x1a17	Safra 3	28	18700	21600	0	2	0	1	1	4	Nao	7387	0.35	1
0x1a172	Safra 2	28	6500	15700	0	1	0	0	0	0	Nao	17289	0.08	1
0x1a17e	Safra 3	28	16100	36200	0	2	0	1	1	7	Sim	14475	0.03	1
0x1a18	Safra 1	28	11400	53600	5	1	0	1	1	1	Sim	16362	0.54	1
0x1a180	Safra 3	28	3600	0	0	4	0	1	2	8	Sim	2644	0.26	1
0x1a18a	Safra 3	28	8100	800	0	4	0	1	1	3	Sim	32053	0.9	1
0x1a19	Safra 3	28	7000	2300	0	1	0	0	0	0	Nao	12528	0.07	1
0x1a190	Safra 1	28	5700	900	2	3	0	2	5	15	Sim	19735	0.64	0
0x1a196	Safra 2	28	7100	119800	1	3	2	2	3	41	Sim	40117	0.04	1
0x1a199	Safra 3	28	1700	7000	1	3	1	1	2	24	Nao	7049	0.89	1
0x1a19a	Safra 2	28	4400	4400	0	1	0	1	1	1	Sim	2807	0.44	1
0x1a1a	Safra 2	28	5900	0	1	4	3	2	3	35	Sim	2691	0.25	1
0x1a1a2	Safra 1	28	4200	700	2	4	0	1	1	5	Sim	2622	0.02	1
0x1a1ae	Safra 2	28	4700	1200	0	2	0	1	2	5	Sim	19571	0.45	0
0x1a1b	Safra 3	28	7100	3100	3	3	2	2	6	102	Sim	12773	0.42	1
0x1a1b0	Safra 2	28	6000	0	1	5	1	2	2	39	Sim	8746	0.79	1
0x1a1ba	Safra 2	28	3200	0	0	1	0	0	0	0	Nao	12875	0.22	1
0x1a1c	Safra 3	28	16100	91000	0	1	0	1	1	1	Sim	7531	0.66	1
0x1a1c0	Safra 1	28	3000	5800	0	1	0	0	0	0	Nao	18852	0.86	1
0x1a1c6	Safra 1	28	9900	2400	1	2	0	3	1	1	Sim	20620	0.34	1
0x1a1d	Safra 1	28	7100	900	1	3	0	2	2	10	Sim	11759	0.2	1
0x1a1d2	Safra 1	28	10700	24200	0	1	0	1	0	0	Nao	5804	0.9	0
0x1a1de	Safra 3	28	14900	10700	3	6	0	2	1	11	Sim	19692	0.09	1
0x1a1ea	Safra 3	28	4700	0	0	4	0	0	3	10	Sim	17864	0.51	1
0x1a1f6	Safra 1	28	9900	200	0	2	0	1	2	5	Sim	2373	0.73	1
0x1a202	Safra 3	28	4000	0	0	2	0	1	2	3	Nao	5222	0.25	1
0x1a20e	Safra 2	28	11000	3800	3	3	1	2	4	50	Sim	12640	0.22	1
0x1a21a	Safra 2	28	23800	14900	1	4	0	2	3	5	Sim	14735	0.28	1
0x1a22	Safra 2	28	14400	69200	7	4	0	1	1	1	Sim	28377	0.33	0
0x1a220	Safra 2	28	8700	43900	0	4	1	1	1	21	Sim	32479	0.81	1
0x1a226	Safra 1	28	8700	0	0	1	0	1	0	0	Nao	3838	0.48	1
0x1a23	Safra 2	28	2000	0	0	1	0	1	0	0	Nao	0	0	1
0x1a232	Safra 1	28	3900	200	2	5	2	2	3	150	Sim	3792	0.79	0
0x1a233	Safra 3	28	17300	0	0	2	0	1	1	1	Sim	19750	0.92	1
0x1a234	Safra 2	28	6200	0	1	5	2	2	3	30	Sim	33537	0.48	0
0x1a23e	Safra 1	28	5100	0	1	3	1	2	4	29	Sim	33369	0.13	1
0x1a24	Safra 3	28	23600	0	1	3	0	2	10	15	Sim	16108	0.18	1
0x1a240	Safra 2	28	6100	0	1	4	0	2	1	1	Sim	19397	0.29	1
0x1a24a	Safra 2	28	11900	24500	0	2	0	1	1	3	Nao	12825	0.72	1
0x1a25	Safra 2	28	4400	200	1	3	0	1	2	13	Sim	14449	0.01	1
0x1a250	Safra 1	28	6500	800	3	5	4	2	3	71	Sim	4957	0	0
0x1a256	Safra 3	28	2500	0	0	4	0	1	2	3	Nao	11302	0.1	1
0x1a26	Safra 2	28	19700	3900	2	5	1	2	4	9	Sim	39009	0.65	1
0x1a262	Safra 1	28	7100	1800	0	6	0	1	2	16	Sim	5350	0.52	1
0x1a26e	Safra 3	28	19400	1100	0	3	2	1	5	47	Sim	4350	0.07	1
0x1a27	Safra 3	28	13100	20900	0	7	1	2	2	6	Sim	30820	0.14	1
0x1a270	Safra 1	28	7400	9700	1	5	2	2	1	62	Sim	45811	0.11	1
0x1a27a	Safra 2	28	15800	0	0	4	0	1	0	0	Sim	12854	0.01	1
0x1a28	Safra 3	28	6900	118800	0	2	0	1	3	9	Sim	37179	0.48	1
0x1a280	Safra 3	28	7100	7200	0	4	0	2	3	6	Sim	2637	0.04	1
0x1a286	Safra 3	28	25700	11200	3	3	2	3	7	58	Sim	2583	0.36	0
0x1a29	Safra 3	28	22500	1400	0	7	1	2	2	95	Sim	13445	0.05	0
0x1a292	Safra 1	28	14500	155200	0	4	0	1	4	9	Sim	14405	0.55	1
0x1a29e	Safra 2	28	14600	2800	0	7	2	1	6	66	Sim	46272	0.68	1
0x1a2aa	Safra 3	28	3200	1600	0	2	0	1	2	5	Nao	15916	0.21	1
0x1a2b6	Safra 1	28	5200	0	0	1	0	1	0	0	Sim	12736	0.51	1
0x1a2c2	Safra 2	28	7300	0	1	7	3	2	5	14	Sim	13802	0.56	0
0x1a2c3	Safra 1	28	20200	0	0	8	1	1	9	93	Sim	26548	0.3	1
0x1a2ce	Safra 2	28	6700	30900	4	2	0	3	1	2	Nao	20524	0.59	1
0x1a2da	Safra 2	28	2400	500	0	2	0	1	2	7	Nao	8163	0.1	1
0x1a2e	Safra 1	28	9100	16400	0	1	0	1	0	0	Nao	9532	0.12	1
0x1a2e0	Safra 2	28	6600	14300	1	4	0	1	2	5	Sim	28203	0.54	1
0x1a2e6	Safra 2	28	4700	11200	0	4	0	0	2	7	Sim	17860	0	1
