COD_ESCOLA	TEMPO_MEDIO_EDUC_PAIS	PERC_ALUNOS_BOLSA_FAM	PERC_ALUNOS_DEFICIT_APREND	ESCOLA_TEMPO_INTEG	PERC_PROF_POS_GRAD	PERC_PROF_TEMP	IDEB
674793	6,4	15	4	0	52	15	6,7
675343	4,2	1	20	0	53	17	4,7
677181	5,9	14	6	0	61	9	6,4
677624	4,5	9	13	0	59	13	5,2
677664	4,5	37	21	0	62	8	5,7
679180	5,1	31	9	0	54	15	6
679494	3,3	73	36	0	53	16	4,5
680436	5,7	45	30	0	68	4	5,3
681633	4,3	48	9	0	59	16	4,7
686578	4,5	48	42	0	53	19	4,9
687038	5,5	23	21	0	52	18	5,6
688910	4,7	53	14	0	67	16	5,1
691049	4,6	41	15	0	57	20	4,9
692023	6,1	0	0	0	62	8	6,8
694884	7,8	0	8	0	64	6	7,7
694936	7,2	7	3	0	54	26	7,4
695114	4,7	66	18	0	52	15	5,1
696767	6,9	21	12	0	63	11	6,4
700749	7,3	7	1	0	67	1	7,7
701011	7	0	1	0	70	0	8,7
701938	4,6	43	21	0	53	21	5,4
702140	5,7	0	5	0	55	18	5,3
703482	5,3	31	15	0	68	4	6,2
706713	4,2	30	35	0	55	18	5
706787	3,9	68	36	0	67	8	4,6
708161	3,9	45	35	0	60	10	5,1
709149	5,7	0	21	0	59	13	6,1
709431	3,5	0	62	0	52	12	4,5
710721	6,5	19	8	0	63	8	7
710794	6,1	16	21	0	57	2	6,8
711120	3,8	68	42	1	49	14	4,5
711925	7,7	12	7	0	55	16	7,5
712366	4,2	65	37	1	46	20	5
713755	5,8	26	18	0	64	10	6,3
716955	7,8	8	3	0	70	1	7,9
717262	5,1	30	23	0	62	8	5,4
717950	7,8	0	6	0	54	18	8,7
717998	5,5	42	8	0	65	6	5,9
719264	4,1	0	38	0	52	18	4,3
722051	6,6	9	5	0	43	26	6,9
722156	6	36	10	0	57	24	6,2
723155	6,8	11	11	0	59	11	6,7
723619	3,5	71	18	1	53	13	4,9
723620	6,7	15	4	0	69	15	6,5
724733	5,5	14	6	0	62	9	5,8
725163	4,6	55	14	0	46	16	3,9
726892	5,7	0	0	0	43	27	6
727755	5,7	32	10	0	57	14	5,8
727781	5,5	19	26	0	61	10	5,6
727844	5,6	0	2	0	58	0	7,2
727916	6,3	0	3	0	70	5	6,5
727928	5	54	18	0	66	5	5,3
728109	5,6	70	0	0	53	17	6,5
728114	4,6	2	17	0	54	16	4,8
728311	6,8	9	1	0	60	9	6,8
728774	5,5	37	6	0	65	14	5,3
730336	3,7	0	47	0	69	6	4,9
732278	5,3	0	25	0	55	18	6,2
733756	5,4	0	21	0	63	7	5,7
734484	7	5	3	0	70	0	7,6
736084	5,5	29	19	0	68	5	6,3
736714	6,8	14	0	0	65	5	7,3
739508	7,3	1	10	0	70	4	7,1
739543	6,4	0	1	0	56	14	6,5
742116	6,3	0	10	0	70	0	7,1
743211	6,9	18	1	0	58	1	9,3
743331	6,9	0	0	0	66	6	6,5
744035	6,6	17	11	0	62	9	7,1
745140	8,4	2	7	0	60	9	8,7
745683	6,4	9	2	0	62	9	6,9
746104	5,6	0	0	0	70	0	6
746422	5,5	0	16	0	63	8	6,2
747262	5,2	0	28	0	69	3	5,6
747374	5,7	42	9	0	64	0	6,2
748576	6	0	14	0	52	18	5
748991	3,6	78	15	0	64	10	4,6
749498	6	41	27	0	53	13	5,6
749611	6,6	0	0	0	62	15	7,2
751094	8,8	0	4	0	63	6	8,6
751764	5,4	18	9	0	47	18	5,3
752035	4,8	57	18	0	48	15	4,9
752157	8,7	0	0	0	62	10	8,6
752907	5,6	0	5	0	67	13	6,1
753093	6,8	9	5	0	67	5	7,2
753421	7,1	12	0	0	70	0	7,6
754472	6,5	23	16	0	35	2	6,9
754650	5,2	39	8	0	63	8	5,6
756075	5,3	35	27	0	60	8	5,9
756084	6,7	11	6	0	61	9	6,6
756094	7,1	0	2	0	57	19	6,7
758634	7,8	0	5	0	66	6	7,7
758715	4,9	41	30	0	55	0	5,6
758846	4	79	55	0	56	9	4
761154	4,9	52	15	0	67	13	5,2
761834	5,1	26	12	0	57	17	5,5
761983	5,1	37	27	0	56	0	5,5
763145	5,9	61	25	0	43	32	5,9
763191	5,7	0	16	0	62	9	6,2
763242	5,2	58	21	0	66	3	6
763801	7,7	17	2	0	70	0	7,7
764035	3,9	62	33	0	43	20	3,8
764725	5,9	0	11	0	65	0	6,5
766500	7,5	8	0	0	65	5	7,9
766746	4,7	49	21	0	55	10	5,6
767588	7,8	9	4	0	53	3	8,2
768925	3,1	79	40	0	50	14	4,7
774157	5,5	68	27	0	44	11	6
774559	3,4	76	37	1	49	15	4,7
775313	4,1	23	32	0	53	3	5,5
776151	4	56	46	0	58	8	5,2
776729	7,5	6	4	0	70	3	7,6
777363	6,7	0	1	0	67	3	6,9
779998	6,3	0	7	0	67	4	6,9
780039	3,9	34	40	0	44	26	4,5
780217	4,4	0	16	0	56	12	4,5
782085	4	43	23	0	61	22	4,4
782258	3,3	80	47	0	61	14	4,2
783090	5,5	62	9	0	43	20	4,6
784416	6	15	9	0	70	0	6,1
784486	4,2	0	36	0	59	15	5,2
785333	6,7	9	10	0	66	4	7,2
785937	5,8	0	0	0	70	0	6,2
786112	6,4	0	7	0	65	5	7,4
791195	6,5	22	2	0	68	4	6,8
792175	6,2	0	7	0	67	19	5,7
792210	6,5	0	0	0	68	2	6,3
793368	6	31	0	0	70	3	6
794247	5,1	52	26	0	52	13	5,2
794424	5,4	27	11	0	67	0	6
795806	5,9	28	5	0	60	8	6,1
796659	6,4	0	1	0	64	0	6,9
797495	7,6	4	4	0	62	7	7,6
798200	6,6	20	0	0	67	1	6,8
