ID_RESPONDENTE	IDADE	GENERO	ESTADO_CIVIL	OCUPACAO_USUAL	RENDA_MENSAL_FAMILIAR	GRAU_EDUCACAO	REFEICAO_MAIS_FREQUENTE	COMPRAS_SAUDAVEIS	RECLAMACAO_ATRASO	AVALIACAO_MEDIA_ANTERIOR	INFLUENCIADO_POR_NOTA
729	30	Masculino	Casado	Empregado CLT	12100	Graduacao	Jantar	Nao	Nao	4.7	1
730	40	Feminino	Casado	Autonomo	4800	Graduacao	Almoco	Nao	Nao	4.7	1
731	19	Masculino	Solteiro	Estudante	9400	Ensino Fund./Medio	Lanches	Nao	Nao	4.5	1
732	31	Masculino	Casado	Autonomo	12800	Ensino Fund./Medio	Lanches	Nao	Nao	4.5	0
733	49	Masculino	Casado	Autonomo	3800	Graduacao	Jantar	Nao	Nao	4.7	1
734	21	Masculino	Solteiro	Empregado CLT	7800	Sem Instrucao	Almoco	Nao	Nao	4.7	1
735	41	Feminino	Casado	Autonomo	9100	Graduacao	Almoco	Nao	Nao	4.6	1
736	25	Feminino	Solteiro	Estudante	4700	Sem Instrucao	Almoco	Sim	Nao	4.5	1
737	48	Feminino	Casado	Empregado CLT	6400	Sem Instrucao	Almoco	Sim	Nao	4.3	0
738	32	Masculino	Solteiro	Empregado CLT	6400	Pos-Graduacao	Almoco	Sim	Sim	4.5	1
739	19	Feminino	Solteiro	Empregado CLT	5200	Ensino Fund./Medio	Lanches	Nao	Nao	4.6	1
740	32	Masculino	Casado	Estudante	3500	Graduacao	Jantar	Sim	Nao	4.7	0
741	36	Masculino	Casado	Autonomo	5300	Ensino Fund./Medio	Lanches	Nao	Nao	4.5	1
742	28	Masculino	Solteiro	Autonomo	4800	Pos-Graduacao	Jantar	Sim	Nao	4.6	0
743	34	Masculino	Solteiro	Estudante	3700	Pos-Graduacao	Jantar	Sim	Nao	4.2	0
744	29	Feminino	Solteiro	Autonomo	10800	Ensino Fund./Medio	Jantar	Nao	Sim	4.2	1
745	22	Feminino	Divorciado	Estudante	12000	Pos-Graduacao	Lanches	Sim	Nao	4.5	1
746	33	Masculino	Casado	Autonomo	2100	Sem Instrucao	Almoco	Nao	Nao	4.7	1
747	33	Feminino	Casado	Sem Ocupacao	5500	Graduacao	Lanches	Nao	Nao	4.8	1
748	22	Masculino	Casado	Estudante	3800	Ensino Fund./Medio	Jantar	Sim	Nao	4.3	0
749	25	Masculino	Casado	Autonomo	5900	Sem Instrucao	Lanches	Nao	Nao	4.7	1
750	27	Feminino	Solteiro	Estudante	7900	Graduacao	Lanches	Sim	Nao	4.9	1
751	18	Feminino	Solteiro	Sem Ocupacao	13000	Sem Instrucao	Almoco	Nao	Nao	4.4	0
752	35	Masculino	Casado	Aposentado	3700	Pos-Graduacao	Almoco	Nao	Nao	4.4	0
753	35	Masculino	Casado	Empregado CLT	17200	Sem Instrucao	Almoco	Nao	Nao	4.6	1
754	30	Masculino	Casado	Empregado CLT	6800	Pos-Graduacao	Lanches	Nao	Nao	4.6	1
755	28	Feminino	Solteiro	Empregado CLT	7700	Graduacao	Jantar	Nao	Nao	4.5	1
756	21	Masculino	Casado	Empregado CLT	4000	Sem Instrucao	Almoco	Nao	Sim	4.2	1
757	26	Feminino	Solteiro	Empregado CLT	3100	Ensino Fund./Medio	Lanches	Nao	Nao	4.9	0
758	19	Masculino	Solteiro	Sem Ocupacao	1500	Ensino Fund./Medio	Cafe da manha	Nao	Nao	4.6	0
759	32	Masculino	Solteiro	Autonomo	9600	Graduacao	Jantar	Nao	Nao	4.5	1
760	32	Masculino	Divorciado	Sem Ocupacao	9900	Graduacao	Lanches	Sim	Sim	4.6	1
761	29	Feminino	Solteiro	Estudante	8800	Graduacao	Almoco	Nao	Nao	4.5	1
762	35	Masculino	Casado	Autonomo	6500	Graduacao	Almoco	Nao	Nao	4.5	1
763	33	Masculino	Solteiro	Empregado CLT	10700	Graduacao	Lanches	Nao	Nao	4.7	1
764	34	Masculino	Casado	Empregado CLT	12500	Graduacao	Cafe da manha	Nao	Nao	4.7	0
765	25	Masculino	Casado	Estudante	9500	Graduacao	Cafe da manha	Nao	Nao	4.2	0
766	40	Masculino	Casado	Empregado CLT	7200	Pos-Graduacao	Almoco	Nao	Nao	4.7	1
767	23	Masculino	Solteiro	Empregado CLT	2000	Graduacao	Jantar	Nao	Nao	4.3	0
768	31	Feminino	Solteiro	Sem Ocupacao	20600	Graduacao	Lanches	Nao	Nao	4.6	1
769	36	Masculino	Casado	Estudante	16300	Graduacao	Almoco	Nao	Nao	4.8	1
770	30	Masculino	Divorciado	Empregado CLT	4200	Graduacao	Lanches	Nao	Nao	4.5	1
771	26	Feminino	Casado	Autonomo	16800	Ensino Fund./Medio	Almoco	Nao	Nao	4.8	1
772	24	Masculino	Solteiro	Estudante	2900	Ensino Fund./Medio	Lanches	Nao	Nao	4.2	0
773	51	Masculino	Viúvo	Autonomo	4400	Graduacao	Almoco	Nao	Nao	4.4	0
774	28	Masculino	Casado	Empregado CLT	8300	Graduacao	Almoco	Nao	Nao	4.7	1
775	28	Masculino	Solteiro	Empregado CLT	7300	Sem Instrucao	Lanches	Sim	Sim	4.6	1
776	31	Masculino	Divorciado	Autonomo	11500	Graduacao	Almoco	Sim	Sim	4.7	1
777	31	Masculino	Casado	Autonomo	24200	Graduacao	Almoco	Nao	Nao	4.6	1
778	29	Feminino	Casado	Estudante	15500	Ensino Fund./Medio	Lanches	Sim	Sim	4.2	0
779	31	Feminino	Casado	Empregado CLT	6700	Pos-Graduacao	Almoco	Nao	Nao	4.6	1
780	21	Masculino	Solteiro	Estudante	10300	Ensino Fund./Medio	Jantar	Nao	Nao	4.6	1
781	19	Feminino	Solteiro	Autonomo	5800	Ensino Fund./Medio	Lanches	Nao	Nao	4.4	0
782	29	Masculino	Solteiro	Empregado CLT	11800	Pos-Graduacao	Jantar	Nao	Nao	4.5	0
783	30	Masculino	Casado	Empregado CLT	7600	Graduacao	Lanches	Nao	Nao	4.6	1
784	21	Masculino	Casado	Sem Ocupacao	8600	Ensino Fund./Medio	Almoco	Nao	Nao	4.8	1
785	31	Feminino	Solteiro	Autonomo	12900	Pos-Graduacao	Almoco	Nao	Nao	4.5	1
786	42	Masculino	Casado	Empregado CLT	14300	Graduacao	Cafe da manha	Sim	Nao	4.6	1
787	50	Masculino	Casado	Autonomo	6900	Pos-Graduacao	Lanches	Nao	Nao	4.6	0
788	86	Masculino	Solteiro	Sem Ocupacao	7500	Pos-Graduacao	Cafe da manha	Nao	Nao	4.8	0
789	44	Feminino	Casado	Empregado CLT	4600	Graduacao	Lanches	Nao	Nao	4.7	0
790	52	Masculino	Casado	Aposentado	9200	Graduacao	Almoco	Sim	Sim	4.9	0
791	18	Feminino	Solteiro	Estudante	12100	Ensino Fund./Medio	Lanches	Nao	Nao	4.5	1
792	22	Masculino	Solteiro	Estudante	7300	Sem Instrucao	Cafe da manha	Nao	Nao	4.7	1
793	49	Masculino	Casado	Empregado CLT	4100	Pos-Graduacao	Cafe da manha	Nao	Nao	4.7	1
794	36	Masculino	Divorciado	Empregado CLT	5400	Ensino Fund./Medio	Cafe da manha	Nao	Nao	4.7	1
795	31	Masculino	Casado	Autonomo	5700	Ensino Fund./Medio	Almoco	Nao	Nao	4.6	1
796	27	Feminino	Solteiro	Estudante	9700	Graduacao	Lanches	Nao	Nao	4.7	1
797	30	Feminino	Casado	Autonomo	8500	Graduacao	Lanches	Nao	Nao	4.6	1
798	40	Masculino	Casado	Empregado CLT	6900	Ensino Fund./Medio	Cafe da manha	Nao	Sim	4.7	1
799	43	Feminino	Casado	Empregado CLT	5900	Graduacao	Almoco	Nao	Nao	4.7	1
800	38	Masculino	Casado	Empregado CLT	4200	Graduacao	Almoco	Sim	Nao	4.6	1
801	23	Masculino	Casado	Estudante	2900	Graduacao	Cafe da manha	Nao	Nao	4.7	1
802	23	Masculino	Solteiro	Estudante	2000	Ensino Fund./Medio	Cafe da manha	Nao	Nao	4.9	1
803	44	Masculino	Casado	Autonomo	15500	Graduacao	Lanches	Nao	Nao	4.9	0
804	31	Masculino	Casado	Estudante	7100	Graduacao	Lanches	Nao	Nao	4.0	0
805	48	Feminino	Divorciado	Empregado CLT	6600	Pos-Graduacao	Almoco	Nao	Nao	4.5	1
806	36	Masculino	Casado	Empregado CLT	12700	Graduacao	Cafe da manha	Nao	Nao	4.6	0
807	40	Masculino	Solteiro	Empregado CLT	7800	Graduacao	Cafe da manha	Nao	Sim	4.4	0
808	27	Feminino	Solteiro	Empregado CLT	900	Ensino Fund./Medio	Lanches	Nao	Nao	4.4	0
809	48	Masculino	Casado	Sem Ocupacao	4100	Graduacao	Almoco	Nao	Nao	4.3	1
810	25	Feminino	Solteiro	Empregado CLT	2600	Ensino Fund./Medio	Lanches	Nao	Nao	4.6	1
811	23	Feminino	Solteiro	Autonomo	14600	Ensino Fund./Medio	Lanches	Nao	Nao	4.8	1
812	26	Feminino	Casado	Estudante	4800	Graduacao	Jantar	Nao	Nao	4.4	1
813	38	Feminino	Casado	Empregado CLT	2200	Pos-Graduacao	Lanches	Nao	Nao	4.6	0
814	38	Masculino	Solteiro	Empregado CLT	3600	Graduacao	Almoco	Nao	Nao	4.6	0
815	24	Feminino	Solteiro	Autonomo	7700	Ensino Fund./Medio	Jantar	Nao	Nao	4.9	1
816	21	Feminino	Solteiro	Estudante	3500	Ensino Fund./Medio	Lanches	Nao	Nao	4.6	0
817	22	Feminino	Casado	Estudante	2600	Sem Instrucao	Jantar	Sim	Nao	4.3	1
818	18	Masculino	Casado	Estudante	900	Ensino Fund./Medio	Lanches	Nao	Nao	4.6	0
819	28	Feminino	Solteiro	Autonomo	7800	Graduacao	Lanches	Nao	Nao	4.7	1
820	29	Masculino	Casado	Autonomo	4500	Graduacao	Jantar	Nao	Nao	4.7	1
821	18	Masculino	Solteiro	Sem Ocupacao	4300	Ensino Fund./Medio	Lanches	Nao	Nao	4.7	0
822	31	Feminino	Solteiro	Sem Ocupacao	4200	Pos-Graduacao	Almoco	Sim	Nao	4.5	0
823	32	Masculino	Solteiro	Autonomo	5700	Pos-Graduacao	Cafe da manha	Nao	Nao	4.8	0
824	30	Feminino	Solteiro	Empregado CLT	1800	Graduacao	Cafe da manha	Nao	Nao	4.5	0
825	25	Masculino	Solteiro	Estudante	5400	Ensino Fund./Medio	Almoco	Nao	Nao	4.7	1
826	41	Masculino	Casado	Autonomo	6400	Graduacao	Almoco	Nao	Nao	4.6	1
827	23	Masculino	Solteiro	Empregado CLT	12800	Sem Instrucao	Lanches	Nao	Nao	4.5	1
828	69	Masculino	Viúvo	Aposentado	6200	Ensino Fund./Medio	Cafe da manha	Nao	Nao	4.6	1
829	55	Feminino	Casado	Empregado CLT	1500	Graduacao	Lanches	Nao	Nao	4.7	0
830	31	Feminino	Casado	Autonomo	5500	Pos-Graduacao	Almoco	Nao	Nao	4.6	1
831	36	Masculino	Solteiro	Sem Ocupacao	9500	Graduacao	Almoco	Nao	Sim	4.3	1
832	41	Feminino	Casado	Empregado CLT	10900	Sem Instrucao	Jantar	Nao	Nao	4.4	0
833	36	Masculino	Solteiro	Empregado CLT	6900	Ensino Fund./Medio	Almoco	Nao	Nao	4.6	0
834	41	Masculino	Divorciado	Empregado CLT	17700	Graduacao	Jantar	Nao	Nao	4.0	0
835	34	Masculino	Casado	Autonomo	7800	Ensino Fund./Medio	Lanches	Nao	Nao	4.5	0
836	33	Masculino	Casado	Autonomo	8600	Graduacao	Cafe da manha	Nao	Nao	4.5	1
837	28	Masculino	Casado	Autonomo	3900	Graduacao	Almoco	Nao	Nao	4.9	1
838	24	Masculino	Solteiro	Estudante	26700	Ensino Fund./Medio	Cafe da manha	Nao	Nao	4.5	1
839	28	Masculino	Solteiro	Empregado CLT	11000	Pos-Graduacao	Almoco	Nao	Nao	4.4	0
840	21	Feminino	Solteiro	Sem Ocupacao	6500	Ensino Fund./Medio	Jantar	Sim	Nao	4.6	1
841	28	Feminino	Casado	Sem Ocupacao	7400	Sem Instrucao	Jantar	Nao	Nao	4.4	1
842	57	Masculino	Casado	Empregado CLT	14100	Pos-Graduacao	Lanches	Nao	Nao	4.7	0
843	27	Feminino	Solteiro	Autonomo	2400	Ensino Fund./Medio	Cafe da manha	Nao	Nao	4.6	1
844	27	Masculino	Casado	Sem Ocupacao	10300	Pos-Graduacao	Lanches	Nao	Nao	4.8	1
845	29	Masculino	Casado	Empregado CLT	3800	Graduacao	Lanches	Nao	Nao	4.9	0
846	32	Feminino	Casado	Empregado CLT	17700	Graduacao	Cafe da manha	Nao	Nao	4.7	1
847	23	Feminino	Solteiro	Estudante	5400	Ensino Fund./Medio	Cafe da manha	Nao	Sim	4.2	0
848	19	Feminino	Solteiro	Sem Ocupacao	4900	Ensino Fund./Medio	Cafe da manha	Nao	Nao	4.5	1
849	25	Masculino	Solteiro	Sem Ocupacao	10600	Sem Instrucao	Lanches	Nao	Nao	4.5	1
850	36	Masculino	Casado	Sem Ocupacao	10100	Pos-Graduacao	Cafe da manha	Sim	Nao	4.8	1
851	28	Masculino	Casado	Empregado CLT	9600	Graduacao	Lanches	Nao	Nao	4.5	1
852	46	Feminino	Casado	Autonomo	14800	Ensino Fund./Medio	Cafe da manha	Nao	Nao	4.4	0
853	55	Masculino	Casado	Sem Ocupacao	6500	Pos-Graduacao	Jantar	Nao	Nao	4.5	1
854	58	Masculino	Casado	Empregado CLT	12700	Ensino Fund./Medio	Cafe da manha	Nao	Nao	4.1	0
855	25	Masculino	Solteiro	Estudante	3600	Ensino Fund./Medio	Almoco	Nao	Nao	4.7	1
856	34	Masculino	Casado	Autonomo	2800	Graduacao	Lanches	Nao	Nao	4.5	1
857	35	Masculino	Casado	Empregado CLT	6600	Graduacao	Jantar	Nao	Nao	4.5	0
858	51	Masculino	Casado	Empregado CLT	9500	Pos-Graduacao	Cafe da manha	Nao	Nao	4.5	0
859	31	Masculino	Divorciado	Autonomo	6900	Graduacao	Lanches	Nao	Nao	4.6	1
860	43	Masculino	Casado	Empregado CLT	8200	Graduacao	Jantar	Nao	Nao	4.6	1
861	33	Feminino	Divorciado	Autonomo	13300	Graduacao	Almoco	Nao	Nao	4.5	1
862	25	Masculino	Solteiro	Autonomo	5700	Graduacao	Lanches	Nao	Nao	4.2	1
863	59	Feminino	Casado	Empregado CLT	5100	Graduacao	Jantar	Sim	Sim	4.3	1
864	36	Masculino	Casado	Empregado CLT	25900	Ensino Fund./Medio	Almoco	Nao	Nao	4.8	1
865	35	Masculino	Casado	Empregado CLT	20500	Graduacao	Cafe da manha	Nao	Nao	4.7	1
866	26	Feminino	Solteiro	Autonomo	6800	Ensino Fund./Medio	Lanches	Nao	Nao	4.6	1
867	26	Feminino	Solteiro	Autonomo	5300	Graduacao	Almoco	Nao	Nao	4.6	1
868	49	Feminino	Casado	Sem Ocupacao	8400	Graduacao	Cafe da manha	Nao	Nao	4.5	0
869	24	Masculino	Casado	Estudante	12200	Sem Instrucao	Cafe da manha	Sim	Sim	4.5	1
870	38	Masculino	Casado	Empregado CLT	15000	Pos-Graduacao	Almoco	Sim	Sim	4.6	1
871	24	Feminino	Casado	Estudante	6200	Graduacao	Lanches	Sim	Sim	4.5	1
872	27	Masculino	Solteiro	Empregado CLT	18700	Ensino Fund./Medio	Almoco	Nao	Nao	4.8	1
873	31	Masculino	Casado	Autonomo	8800	Graduacao	Cafe da manha	Nao	Nao	4.9	1
874	37	Masculino	Casado	Empregado CLT	5500	Graduacao	Almoco	Nao	Nao	4.7	1
875	34	Masculino	Casado	Estudante	6500	Pos-Graduacao	Jantar	Nao	Nao	4.6	1
876	21	Feminino	Solteiro	Estudante	12200	Sem Instrucao	Cafe da manha	Nao	Nao	4.3	0
877	30	Feminino	Solteiro	Empregado CLT	12100	Sem Instrucao	Almoco	Nao	Nao	4.5	1
878	34	Masculino	Casado	Empregado CLT	7200	Graduacao	Almoco	Sim	Nao	4.5	0
879	47	Masculino	Casado	Empregado CLT	5000	Pos-Graduacao	Lanches	Nao	Nao	4.5	0
880	31	Feminino	Casado	Estudante	6300	Pos-Graduacao	Almoco	Nao	Nao	4.7	1
881	25	Masculino	Casado	Autonomo	4800	Ensino Fund./Medio	Cafe da manha	Nao	Nao	4.6	1
882	26	Masculino	Casado	Empregado CLT	11500	Graduacao	Almoco	Nao	Nao	4.7	1
883	47	Masculino	Casado	Sem Ocupacao	6600	Pos-Graduacao	Almoco	Nao	Nao	4.7	1
884	40	Feminino	Casado	Empregado CLT	8100	Graduacao	Almoco	Nao	Nao	4.5	1
885	31	Masculino	Casado	Sem Ocupacao	12700	Pos-Graduacao	Lanches	Sim	Sim	4.5	1
886	18	Feminino	Solteiro	Estudante	11300	Sem Instrucao	Jantar	Nao	Nao	4.7	1
887	37	Masculino	Divorciado	Autonomo	13500	Pos-Graduacao	Cafe da manha	Nao	Nao	4.3	1
888	28	Feminino	Casado	Estudante	3800	Ensino Fund./Medio	Cafe da manha	Sim	Sim	4.5	1
889	48	Feminino	Casado	Autonomo	4000	Pos-Graduacao	Lanches	Nao	Nao	4.9	0
890	34	Feminino	Casado	Empregado CLT	12600	Graduacao	Lanches	Sim	Nao	4.5	1
891	35	Feminino	Casado	Autonomo	7600	Graduacao	Almoco	Sim	Nao	4.6	1
892	26	Feminino	Casado	Empregado CLT	7500	Ensino Fund./Medio	Lanches	Nao	Nao	4.7	0
893	30	Feminino	Casado	Empregado CLT	15300	Ensino Fund./Medio	Lanches	Nao	Nao	4.7	1
894	37	Feminino	Casado	Empregado CLT	5600	Graduacao	Lanches	Nao	Nao	4.6	0
895	27	Feminino	Casado	Autonomo	7400	Sem Instrucao	Cafe da manha	Nao	Nao	4.9	0
896	32	Masculino	Solteiro	Autonomo	12700	Pos-Graduacao	Almoco	Nao	Nao	4.5	1
897	32	Masculino	Solteiro	Estudante	15900	Graduacao	Cafe da manha	Nao	Nao	4.4	1
898	54	Masculino	Casado	Empregado CLT	10900	Pos-Graduacao	Lanches	Nao	Nao	4.9	1
899	25	Masculino	Solteiro	Estudante	18100	Pos-Graduacao	Lanches	Nao	Nao	4.6	1
900	19	Masculino	Solteiro	Autonomo	4700	Ensino Fund./Medio	Cafe da manha	Nao	Nao	4.5	1
901	24	Masculino	Solteiro	Empregado CLT	9800	Ensino Fund./Medio	Lanches	Nao	Sim	4.3	0
902	19	Feminino	Solteiro	Estudante	8600	Ensino Fund./Medio	Lanches	Sim	Sim	4.6	1
903	37	Masculino	Casado	Autonomo	5700	Graduacao	Almoco	Nao	Nao	4.6	1
904	18	Masculino	Solteiro	Estudante	11400	Ensino Fund./Medio	Jantar	Nao	Nao	4.0	0
905	20	Feminino	Solteiro	Empregado CLT	15100	Sem Instrucao	Lanches	Nao	Nao	4.7	1
906	38	Masculino	Solteiro	Sem Ocupacao	13700	Graduacao	Almoco	Sim	Nao	4.6	1
907	59	Masculino	Casado	Empregado CLT	19600	Graduacao	Cafe da manha	Sim	Sim	4.6	1
908	34	Masculino	Casado	Empregado CLT	14500	Graduacao	Cafe da manha	Nao	Nao	4.4	0
909	29	Feminino	Casado	Empregado CLT	15300	Graduacao	Cafe da manha	Nao	Nao	4.8	1
910	23	Masculino	Solteiro	Sem Ocupacao	1800	Graduacao	Cafe da manha	Nao	Nao	4.5	0
911	38	Masculino	Casado	Estudante	5800	Pos-Graduacao	Almoco	Nao	Nao	4.6	1
912	37	Feminino	Solteiro	Autonomo	7200	Graduacao	Almoco	Nao	Nao	4.7	1
913	22	Feminino	Solteiro	Empregado CLT	5700	Sem Instrucao	Cafe da manha	Nao	Nao	4.8	1
914	39	Masculino	Casado	Sem Ocupacao	10100	Graduacao	Almoco	Sim	Nao	4.7	1
915	46	Masculino	Casado	Sem Ocupacao	8500	Pos-Graduacao	Cafe da manha	Nao	Nao	4.7	1
916	28	Masculino	Solteiro	Estudante	2600	Ensino Fund./Medio	Almoco	Nao	Nao	4.5	1
917	35	Masculino	Casado	Autonomo	4200	Sem Instrucao	Cafe da manha	Nao	Nao	4.6	1
918	26	Feminino	Solteiro	Estudante	9200	Pos-Graduacao	Almoco	Nao	Nao	4.6	1
919	24	Feminino	Solteiro	Autonomo	26000	Ensino Fund./Medio	Almoco	Nao	Nao	4.7	1
920	31	Masculino	Casado	Autonomo	6500	Graduacao	Almoco	Sim	Sim	4.2	1
921	45	Feminino	Casado	Autonomo	8300	Ensino Fund./Medio	Cafe da manha	Nao	Nao	4.5	1
922	37	Feminino	Casado	Autonomo	16400	Pos-Graduacao	Lanches	Sim	Sim	4.5	1
923	30	Feminino	Casado	Empregado CLT	4000	Pos-Graduacao	Cafe da manha	Nao	Nao	4.7	1
924	29	Masculino	Casado	Empregado CLT	14100	Ensino Fund./Medio	Cafe da manha	Sim	Nao	4.7	1
925	37	Feminino	Solteiro	Empregado CLT	13300	Graduacao	Almoco	Nao	Sim	4.5	1
926	18	Masculino	Casado	Empregado CLT	9000	Sem Instrucao	Cafe da manha	Nao	Nao	4.8	1
927	26	Feminino	Solteiro	Autonomo	1000	Ensino Fund./Medio	Cafe da manha	Nao	Nao	4.5	0
928	25	Feminino	Casado	Sem Ocupacao	4700	Graduacao	Almoco	Nao	Nao	4.7	1
929	49	Feminino	Casado	Autonomo	6700	Graduacao	Lanches	Nao	Nao	4.2	0
930	27	Feminino	Solteiro	Estudante	4200	Sem Instrucao	Jantar	Sim	Nao	4.6	0
931	35	Feminino	Casado	Empregado CLT	16400	Pos-Graduacao	Jantar	Nao	Nao	4.2	0
932	30	Feminino	Casado	Empregado CLT	7700	Graduacao	Cafe da manha	Nao	Nao	4.3	0
933	21	Feminino	Solteiro	Estudante	5500	Sem Instrucao	Lanches	Sim	Sim	4.7	0
934	31	Feminino	Solteiro	Sem Ocupacao	9500	Ensino Fund./Medio	Cafe da manha	Nao	Nao	4.7	1
935	50	Feminino	Casado	Autonomo	7900	Graduacao	Lanches	Nao	Sim	4.3	0
936	21	Masculino	Solteiro	Estudante	11600	Ensino Fund./Medio	Cafe da manha	Sim	Nao	4.7	1
937	28	Feminino	Solteiro	Autonomo	5700	Sem Instrucao	Almoco	Nao	Nao	4.7	1
938	22	Masculino	Solteiro	Sem Ocupacao	6700	Ensino Fund./Medio	Jantar	Nao	Nao	4.6	0
939	23	Masculino	Solteiro	Estudante	13700	Pos-Graduacao	Almoco	Nao	Nao	4.7	1
940	34	Masculino	Casado	Sem Ocupacao	4100	Graduacao	Almoco	Nao	Nao	4.3	0
941	35	Masculino	Solteiro	Sem Ocupacao	10100	Pos-Graduacao	Cafe da manha	Nao	Nao	4.6	1
942	24	Masculino	Solteiro	Empregado CLT	2700	Sem Instrucao	Jantar	Sim	Nao	4.2	0
943	34	Feminino	Casado	Autonomo	2500	Graduacao	Lanches	Nao	Nao	4.5	0
944	23	Masculino	Casado	Estudante	9100	Ensino Fund./Medio	Almoco	Sim	Nao	4.6	0
945	37	Feminino	Casado	Autonomo	8700	Graduacao	Lanches	Nao	Nao	4.7	1
946	58	Masculino	Divorciado	Empregado CLT	6700	Pos-Graduacao	Lanches	Nao	Nao	4.6	1
947	30	Masculino	Solteiro	Empregado CLT	21100	Ensino Fund./Medio	Almoco	Nao	Nao	4.5	1
948	37	Masculino	Casado	Autonomo	3500	Graduacao	Almoco	Nao	Nao	4.7	1
949	28	Masculino	Casado	Autonomo	7500	Ensino Fund./Medio	Cafe da manha	Nao	Nao	4.4	0
950	47	Feminino	Casado	Empregado CLT	3600	Graduacao	Jantar	Nao	Nao	4.8	0
951	20	Masculino	Solteiro	Autonomo	5600	Sem Instrucao	Jantar	Nao	Nao	4.5	1
952	28	Masculino	Solteiro	Empregado CLT	7600	Graduacao	Lanches	Sim	Sim	4.8	1
953	19	Masculino	Solteiro	Estudante	8000	Ensino Fund./Medio	Cafe da manha	Nao	Nao	4.7	1
954	36	Masculino	Divorciado	Autonomo	6100	Ensino Fund./Medio	Jantar	Nao	Sim	4.5	1
955	25	Feminino	Casado	Sem Ocupacao	4600	Ensino Fund./Medio	Almoco	Nao	Nao	4.7	1
956	30	Masculino	Solteiro	Autonomo	6800	Graduacao	Almoco	Sim	Sim	4.4	1
957	22	Masculino	Casado	Autonomo	3400	Graduacao	Cafe da manha	Nao	Nao	4.5	1
958	19	Masculino	Casado	Sem Ocupacao	3600	Sem Instrucao	Cafe da manha	Nao	Nao	4.6	1
959	19	Masculino	Solteiro	Estudante	4200	Ensino Fund./Medio	Almoco	Nao	Nao	4.7	1
960	25	Feminino	Casado	Sem Ocupacao	3000	Graduacao	Cafe da manha	Nao	Nao	4.6	1
961	28	Masculino	Casado	Autonomo	8500	Graduacao	Jantar	Nao	Nao	4.4	1
962	36	Masculino	Casado	Autonomo	6600	Graduacao	Jantar	Nao	Nao	4.2	0
963	44	Masculino	Solteiro	Empregado CLT	19300	Pos-Graduacao	Almoco	Sim	Sim	4.5	1
964	34	Masculino	Casado	Autonomo	5800	Ensino Fund./Medio	Lanches	Nao	Nao	4.3	0
965	44	Masculino	Solteiro	Autonomo	10200	Graduacao	Almoco	Nao	Nao	4.7	1
966	63	Masculino	Divorciado	Autonomo	2100	Graduacao	Cafe da manha	Nao	Nao	4.8	1
967	22	Masculino	Casado	Empregado CLT	4400	Sem Instrucao	Almoco	Nao	Nao	4.6	1
968	26	Masculino	Solteiro	Empregado CLT	5600	Graduacao	Cafe da manha	Nao	Nao	4.7	1
969	38	Feminino	Casado	Autonomo	6200	Graduacao	Almoco	Nao	Sim	4.6	1
970	21	Masculino	Solteiro	Empregado CLT	15600	Sem Instrucao	Almoco	Nao	Nao	4.7	0
971	26	Feminino	Solteiro	Sem Ocupacao	6200	Graduacao	Cafe da manha	Nao	Sim	4.4	1
972	39	Masculino	Solteiro	Empregado CLT	24200	Graduacao	Cafe da manha	Nao	Nao	4.3	0
973	27	Masculino	Solteiro	Sem Ocupacao	5900	Ensino Fund./Medio	Almoco	Nao	Sim	4.6	0
974	24	Masculino	Solteiro	Sem Ocupacao	7600	Ensino Fund./Medio	Lanches	Nao	Nao	4.6	1
975	33	Feminino	Casado	Empregado CLT	7800	Sem Instrucao	Almoco	Sim	Sim	4.7	1
976	53	Masculino	Casado	Autonomo	8100	Graduacao	Cafe da manha	Nao	Nao	4.4	1
977	33	Masculino	Solteiro	Estudante	13000	Graduacao	Cafe da manha	Sim	Sim	4.8	1
978	18	Feminino	Solteiro	Sem Ocupacao	1900	Sem Instrucao	Almoco	Nao	Sim	4.3	0
979	27	Masculino	Casado	Autonomo	10600	Graduacao	Almoco	Nao	Nao	4.6	0
980	50	Masculino	Casado	Autonomo	6800	Graduacao	Almoco	Nao	Nao	4.3	1
981	27	Masculino	Casado	Empregado CLT	4500	Graduacao	Cafe da manha	Nao	Nao	4.6	1
982	25	Masculino	Solteiro	Estudante	2100	Ensino Fund./Medio	Lanches	Nao	Nao	4.7	0
983	26	Masculino	Casado	Sem Ocupacao	3100	Pos-Graduacao	Cafe da manha	Nao	Nao	4.6	1
984	18	Masculino	Solteiro	Estudante	4200	Ensino Fund./Medio	Jantar	Nao	Nao	4.8	0
985	29	Masculino	Casado	Autonomo	3000	Graduacao	Cafe da manha	Nao	Nao	4.2	0
986	27	Feminino	Casado	Autonomo	9500	Ensino Fund./Medio	Almoco	Nao	Nao	4.8	0
987	27	Feminino	Solteiro	Empregado CLT	5000	Pos-Graduacao	Jantar	Sim	Sim	4.3	0
988	22	Masculino	Solteiro	Empregado CLT	13700	Ensino Fund./Medio	Almoco	Nao	Nao	4.5	1
989	29	Feminino	Solteiro	Estudante	5900	Ensino Fund./Medio	Cafe da manha	Nao	Nao	4.6	0
990	51	Feminino	Casado	Autonomo	4200	Sem Instrucao	Lanches	Nao	Nao	4.9	0
991	29	Masculino	Solteiro	Sem Ocupacao	6200	Pos-Graduacao	Almoco	Nao	Nao	4.7	1
